hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	chunks	dataset	hardware_type	node_type	threads
01/c6de72	136	3755039.pbs02	similarity_chunk	breast.003.004/11	similarity_chunk (breast.003.004/11)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633456906574	1633462502022	1633470670544	13763970	8162927		199.0	0.3	498008064.0	16300498944.0	502353920.0	16367661056.0	71742067.0	7642606014.0	5571.0	1054.0	103117470.0	7642593293.0	25638.0	311227.0	/scratch1/btsheal/work/01/c6de72e98d047e750a1638cbae9388			16	breast.003.004	p100	16	2
01/f88e47	100	3769475.pbs02	similarity_chunk	breast.003.004/3	similarity_chunk (breast.003.004/3)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633620370841	1633626818864	1633637731536	17360695	10899493		198.7	0.3	499052544.0	16300507136.0	501047296.0	16300560384.0	71742387.0	10177428776.0	5633.0	1269.0	114246297.0	10177415337.0	21750.0	424427.0	/scratch1/btsheal/work/01/f88e47e477fe603672a0e15752d748			12	breast.003.004	p100	16	2
02/ada38e	77	3752320.pbs02	similarity_chunk	breast.004.001/0	similarity_chunk (breast.004.001/0)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633440315920	1633448404811	1633451651865	11335945	3253929		198.6	0.3	407511040.0	15723646976.0	407511040.0	15832752128.0	25130513.0	3391943173.0	2877.0	1554.0	56504537.0	3391929205.0	26952.0	108247.0	/scratch1/btsheal/work/02/ada38e922437546fadff494a0b5ee9			16	breast.004.001	p100	16	2
03/765668	40	3776361.pbs02	similarity_chunk	breast.002.004/3	similarity_chunk (breast.002.004/3)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633783693109	1633792738093	1633795115292	11422183	2383973		197.4	0.1	516870144.0	11940876288.0	523911168.0	12075147264.0	48747783.0	6854880203.0	4551.0	914.0	79767091.0	6854871762.0	21914.0	94384.0	/scratch1/btsheal/work/03/7656681dc91966bd80d9682d36988b			8	breast.002.004	v100	18b	2
03/c7de99	4	3722542.pbs02	similarity_chunk	breast.002.001/1	similarity_chunk (breast.002.001/1)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633258120441	1633258132325	1633259743440	1622999	1594193		87.9	0.2	368574464.0	15682228224.0	368574464.0	15729393664.0	13354201.0	1677440457.0	1982.0	987.0	44733833.0	1677428542.0	4049.0	88930.0	/scratch1/btsheal/work/03/c7de9965ce5c33b8dec0ab2783e51b			8	breast.002.001	p100	16	2
04/17eff8	19	3679929.pbs02	similarity_chunk	breast.001.002/2	similarity_chunk (breast.001.002/2)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632898323146	1632898604497	1632899216613	893467	571650		195.1	0.1	401928192.0	11571081216.0	422871040.0	11705352192.0	13679417.0	1700477365.0	2309.0	632.0	44703677.0	1700470068.0	15958.0	21662.0	/scratch1/btsheal/work/04/17eff82625611dd3330e5abaa9c641			4	breast.001.002	v100	18b	2
04/40b9be	203	3814431.pbs02	similarity_chunk	breast.004.002/14	similarity_chunk (breast.004.002/14)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1634041242556	1634041252960	1634043464851	2222295	2212756		195.2	0.1	486879232.0	11707170816.0	502325248.0	11807883264.0	48817541.0	6715694203.0	4720.0	1492.0	79839480.0	6715684388.0	21964.0	83822.0	/scratch1/btsheal/work/04/40b9be72a3957d93b76a142a6549e7			16	breast.004.002	v100	18b	2
04/6c1d4b	44	3682812.pbs02	similarity_chunk	breast.001.001/7	similarity_chunk (breast.001.001/7)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632922204792	1632922787574	1632922869885	665093	72939		190.7	0.1	370335744.0	11403321344.0	370335744.0	11537592320.0	7852361.0	220208386.0	1886.0	356.0	38881150.0	220202330.0	1799.0	2126.0	/scratch1/btsheal/work/04/6c1d4b628fed5b7ccf29c80779277b			16	breast.001.001	v100	18b	2
04/f71df4	135	3754983.pbs02	similarity_chunk	breast.003.004/10	similarity_chunk (breast.003.004/10)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633456046824	1633458459497	1633466660048	10613224	8194097		199.1	0.3	496259072.0	16300490752.0	503783424.0	16367652864.0	71741964.0	7579921285.0	5566.0	1056.0	110087838.0	7579908567.0	26400.0	312480.0	/scratch1/btsheal/work/04/f71df46f5813c202ce7e07cadb5207			16	breast.003.004	p100	16	2
05/19f73d	70	3752291.pbs02	similarity_chunk	breast.003.002/9	similarity_chunk (breast.003.002/9)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633440282787	1633446108954	1633449830201	9547414	3711240		198.6	0.3	403943424.0	15897767936.0	428666880.0	16032038912.0	36725053.0	3750801408.0	3425.0	1063.0	68100870.0	3750788718.0	15403.0	124344.0	/scratch1/btsheal/work/05/19f73df650ec177dd27d24df62116b			16	breast.003.002	p100	16	2
05/5615a0	21	3636871.pbs02	similarity_chunk	breast.001.004/0	similarity_chunk (breast.001.004/0)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632513795812	1632545163505	1632587703504	73907692	42526156		99.8	0.2	193892352.0	1248350208.0	214171648.0	1283411968.0	24820526.0	887092659.0	2325.0	338.0	55547970.0	887080580.0	27876.0	36879.0	/scratch1/btsheal/work/05/5615a0f13771ede1fae2358045019f			16	breast.001.004	cpu	8a	2
05/673c1a	17	3776338.pbs02	similarity_chunk	breast.003.003/4	similarity_chunk (breast.003.003/4)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633783581764	1633783589826	1633787345020	3763256	3754623		197.3	0.1	498622464.0	11773669376.0	519147520.0	11807272960.0	54585280.0	11480541080.0	5112.0	1642.0	85602950.0	11480530470.0	26819.0	145314.0	/scratch1/btsheal/work/05/673c1a0ff81b1e5f2aea01c15a2e8c			8	breast.003.003	v100	18b	2
05/7bc9c3	84	3767851.pbs02	similarity_chunk	breast.002.002/11	similarity_chunk (breast.002.002/11)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633611363583	1633618130519	1633620364496	9000913	2231691		197.0	0.3	408424448.0	15850053632.0	429395968.0	15897223168.0	25013042.0	2237777097.0	2626.0	800.0	56389100.0	2237765236.0	25330.0	85864.0	/scratch1/btsheal/work/05/7bc9c34cf7c8068fde652238e35970			12	breast.002.002	p100	16	2
05/954990	14	3674777.pbs02	similarity_chunk	breast.001.004/1	similarity_chunk (breast.001.004/1)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632833375478	1632833383991	1632835116387	1740909	1725636		196.9	0.3	472989696.0	16084426752.0	497217536.0	16118034432.0	24986750.0	1728235410.0	2554.0	515.0	67494970.0	1728225824.0	5740.0	61030.0	/scratch1/btsheal/work/05/954990b541ef0e0b87f8b63141f517			8	breast.001.004	p100	16	2
05/d8fe9a	25	3722564.pbs02	similarity_chunk	breast.003.003/4	similarity_chunk (breast.003.003/4)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633258176696	1633258212362	1633269913579	11736883	11700881		199.1	0.3	446578688.0	16031571968.0	449757184.0	16132284416.0	54188225.0	11480515940.0	4685.0	1687.0	85580422.0	11480501798.0	22769.0	450528.0	/scratch1/btsheal/work/05/d8fe9a6a0d5d246f8c3a1bea1c4352			8	breast.003.003	p100	25d	2
06/29007e	8	3679981.pbs02	similarity_chunk	breast.001.003/3	similarity_chunk (breast.001.003/3)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632909515742	1632909523119	1632911932112	2416370	2399616		198.3	0.3	463962112.0	15950155776.0	463966208.0	16017317888.0	19143400.0	2504657600.0	2236.0	701.0	50524157.0	2504646187.0	7612.0	89077.0	/scratch1/btsheal/work/06/29007e457af3c19bff2b8934428af3			4	breast.001.003	p100	16	2
06/337709	17	3679927.pbs02	similarity_chunk	breast.001.002/0	similarity_chunk (breast.001.002/0)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632898313661	1632899195600	1632899772411	1458750	578158		195.3	0.1	412930048.0	11571126272.0	433897472.0	11638288384.0	13679544.0	1685961361.0	2315.0	628.0	44703677.0	1685954046.0	28562.0	21334.0	/scratch1/btsheal/work/06/3377090440e271e3dbf130002fbbef			4	breast.001.002	v100	18b	2
06/3e84ec	86	3725112.pbs02	similarity_chunk	breast.004.002/1	similarity_chunk (breast.004.002/1)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633271309946	1633290498073	1633304192720	32882774	13687233		199.1	0.3	440131584.0	15931981824.0	445767680.0	15965585408.0	48443034.0	13496922838.0	4673.0	2672.0	90941677.0	13496905918.0	39915.0	503797.0	/scratch1/btsheal/work/06/3e84ec9aef08bde2296cb42788c348			8	breast.004.002	p100	16	2
06/4a2c79	24	3722559.pbs02	similarity_chunk	breast.003.003/3	similarity_chunk (breast.003.003/3)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633258167197	1633258177350	1633269843151	11675954	11665266		199.1	0.3	482250752.0	16032030720.0	484352000.0	16132743168.0	54202579.0	11367591303.0	4703.0	1690.0	85576326.0	11367577063.0	34369.0	415427.0	/scratch1/btsheal/work/06/4a2c79713c78052361b50ab7670325			8	breast.003.003	p100	17	2
06/4c5979	60	3822029.pbs02	similarity_chunk	breast.004.002/3	similarity_chunk (breast.004.002/3)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1634158247754	1634160417038	1634169421336	11173582	9009315		196.7	0.1	450670592.0	11707670528.0	462233600.0	11808382976.0	49006718.0	26756300719.0	5974.0	4895.0	79843565.0	26756281210.0	44499.0	342440.0	/scratch1/btsheal/work/06/4c5979218f8e2093d974e04e3787d1			4	breast.004.002	v100	20	2
06/93c45f	89	3786523.pbs02	similarity_chunk	breast.004.003/4	similarity_chunk (breast.004.003/4)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633909391832	1633909848078	1633914256087	4864255	4398321		198.0	0.1	523304960.0	11807928320.0	523415552.0	11841531904.0	72110563.0	13560817338.0	6272.0	1861.0	103131370.0	13560806286.0	23247.0	164549.0	/scratch1/btsheal/work/06/93c45f3a44ec41f65a02c3680bb8ff			12	breast.004.003	v100	18b	2
06/d6beca	124	3754260.pbs02	similarity_chunk	breast.004.003/15	similarity_chunk (breast.004.003/15)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633452988605	1633458469480	1633468595920	15607315	10121624		199.0	0.3	485928960.0	16066211840.0	496898048.0	16166924288.0	71730768.0	9940586898.0	5722.0	1526.0	111513839.0	9940572841.0	31097.0	389634.0	/scratch1/btsheal/work/06/d6beca748507406872440f88df8f32			16	breast.004.003	p100	16	2
07/0ab51e	57	3722604.pbs02	similarity_chunk	breast.002.002/4	similarity_chunk (breast.002.002/4)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633258320264	1633271960738	1633275387601	17067337	3414641		91.3	0.3	407834624.0	15850106880.0	428814336.0	15964377088.0	25013484.0	3366315671.0	2690.0	988.0	56389089.0	3366303810.0	6406.0	188533.0	/scratch1/btsheal/work/07/0ab51e841cdf7d1125fa5236e2e221			8	breast.002.002	p100	16	2
07/2075a2	41	3678944.pbs02	similarity_chunk	breast.001.001/4	similarity_chunk (breast.001.001/4)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632884341295	1632885311229	1632885521730	1180435	210617		193.8	0.2	353492992.0	15661617152.0	353492992.0	15728779264.0	7473176.0	217404423.0	1459.0	423.0	38850430.0	217395171.0	2818.0	6887.0	/scratch1/btsheal/work/07/2075a2f1673450dd4b70b3bc3d3d0f			16	breast.001.001	p100	16	2
07/2c1e50	32	3682779.pbs02	similarity_chunk	breast.001.002/11	similarity_chunk (breast.001.002/11)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632922146977	1632922365693	1632922520732	373755	156675		189.8	0.1	427118592.0	11604697088.0	427122688.0	11705409536.0	13678937.0	447174077.0	2244.0	351.0	44703688.0	447168100.0	28606.0	5742.0	/scratch1/btsheal/work/07/2c1e50ad424169c004806f9d9af8e8			16	breast.001.002	v100	18b	2
07/3848f5	138	3814330.pbs02	similarity_chunk	breast.003.004/13	similarity_chunk (breast.003.004/13)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1634038295708	1634038317903	1634040944803	2649095	2637507		196.9	0.1	557264896.0	12075700224.0	558542848.0	12075753472.0	72120865.0	7725150139.0	5992.0	989.0	103144094.0	7725141702.0	28557.0	105604.0	/scratch1/btsheal/work/07/3848f5aea835ce086f657d0c57d589			16	breast.003.004	v100	18b	2
08/377836	67	3722737.pbs02	similarity_chunk	breast.004.003/6	similarity_chunk (breast.004.003/6)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633259820684	1633276219131	1633297280720	37460036	21054513		199.0	0.3	508837888.0	16066195456.0	508841984.0	16099799040.0	71733784.0	20362368818.0	6093.0	2673.0	103104740.0	20362351978.0	49882.0	775802.0	/scratch1/btsheal/work/08/3778363562711621279bfa15eb8bcc			8	breast.004.003	p100	16	2
08/392842	16	3636865.pbs02	similarity_chunk	breast.001.003/11	similarity_chunk (breast.001.003/11)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632513780587	1632544844527	1632577188559	63407972	32328076		99.7	0.2	158842880.0	1195167744.0	189530112.0	1295892480.0	18973397.0	652192868.0	1962.0	336.0	52726794.0	652180820.0	24209.0	14848.0	/scratch1/btsheal/work/08/392842323ac2a66465fa29fbcd1d12			16	breast.001.003	cpu	7a	2
08/5d29a6	62	3722615.pbs02	similarity_chunk	breast.004.003/1	similarity_chunk (breast.004.003/1)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633258346840	1633274313144	1633294898896	36552056	20586390		199.1	0.3	487284736.0	16066248704.0	487284736.0	16099852288.0	71733692.0	20310319546.0	6095.0	2677.0	103104740.0	20310302690.0	42060.0	754011.0	/scratch1/btsheal/work/08/5d29a62148f3de5c3867b4a637f8ec			8	breast.004.003	p100	16	2
08/966064	12	3786417.pbs02	similarity_chunk	breast.002.001/4	similarity_chunk (breast.002.001/4)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633907338943	1633907347003	1633907697002	358059	350415		194.7	0.1	386994176.0	11437436928.0	386994176.0	11504599040.0	13732477.0	1127204944.0	2347.0	730.0	52870543.0	1127197224.0	4328.0	12701.0	/scratch1/btsheal/work/08/966064b790d74623f25c418362801e			12	breast.002.001	v100	18b	2
08/b5dc41	13	3678912.pbs02	similarity_chunk	breast.001.003/8	similarity_chunk (breast.001.003/8)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632884207759	1632884219952	1632884842025	634266	625584		197.0	0.3	431824896.0	15916544000.0	461189120.0	16030818304.0	19143209.0	660688452.0	2172.0	424.0	50524163.0	660679209.0	3941.0	21613.0	/scratch1/btsheal/work/08/b5dc41fc31f24bcbe948b3e372fcb4			16	breast.001.003	p100	16	2
08/bc8ebb	77	3786506.pbs02	similarity_chunk	breast.002.002/4	similarity_chunk (breast.002.002/4)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633909094997	1633909913374	1633910660843	1565846	744714		196.4	0.1	401289216.0	11638861824.0	401350656.0	11672465408.0	25391627.0	2233818749.0	3052.0	730.0	56419815.0	2233811004.0	5088.0	27197.0	/scratch1/btsheal/work/08/bc8ebbaad3326a9c19cface774eab8			12	breast.002.002	v100	18b	2
08/e4c58a	85	3786516.pbs02	similarity_chunk	breast.004.003/0	similarity_chunk (breast.004.003/0)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633909168044	1633913495288	1633918081782	8913738	4588021		197.8	0.1	517898240.0	11807883264.0	517902336.0	11841486848.0	72114456.0	13582285300.0	6275.0	1859.0	103131370.0	13582274295.0	25206.0	168988.0	/scratch1/btsheal/work/08/e4c58ad94dab59d10c9452e096b25f			12	breast.004.003	v100	18b	2
08/f20a83	57	3752240.pbs02	similarity_chunk	breast.004.004/12	similarity_chunk (breast.004.004/12)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633439556047	1633440224786	1633454819868	15263821	14624992		198.4	0.4	549789696.0	16312840192.0	549879808.0	16379998208.0	95121032.0	13740829377.0	7150.0	1555.0	126494965.0	13740815131.0	31875.0	574740.0	/scratch1/btsheal/work/08/f20a835e9060c2759589b7a2b20a2b			16	breast.004.004	p100	16	2
09/49386d	25	3698741.pbs02	similarity_chunk	breast.003.002/1	similarity_chunk (breast.003.002/1)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633013216899	1633036068550	1633051446480	38229581	15373092		92.2	0.3	438243328.0	15931260928.0	450560000.0	15931314176.0	36730352.0	15218705908.0	4026.0	2974.0	67371776.0	15218688360.0	21271.0	834794.0	/scratch1/btsheal/work/09/49386d7e449100967607584dcd4d58			4	breast.003.002	p100	16	2
09/566cb2	154	3756200.pbs02	similarity_chunk	breast.002.003/13	similarity_chunk (breast.002.003/13)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633462343764	1633462507062	1633465184439	2840675	2674586		198.4	0.3	432877568.0	15997853696.0	436387840.0	16098566144.0	36671576.0	2551972771.0	3313.0	701.0	79179140.0	2551961316.0	27015.0	95510.0	/scratch1/btsheal/work/09/566cb2d8cba07c84fd998d75b09fef			16	breast.002.003	p100	17	2
0a/1c7ad9	102	3753496.pbs02	similarity_chunk	breast.002.002/9	similarity_chunk (breast.002.002/9)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633448791632	1633462334063	1633464044752	15253120	1701515		198.3	0.3	436908032.0	15856676864.0	456892416.0	15965782016.0	25012847.0	1687470555.0	2600.0	701.0	56389095.0	1687459130.0	5601.0	62830.0	/scratch1/btsheal/work/0a/1c7ad95de0b3916e6c1d7355c4a11a			16	breast.002.002	p100	16	2
0a/4fdfd6	184	3814409.pbs02	similarity_chunk	breast.003.001/11	similarity_chunk (breast.003.001/11)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1634040919514	1634040929935	1634041509737	590223	578597		193.5	0.1	402153472.0	11438030848.0	402153472.0	11505192960.0	19628471.0	1881853445.0	2783.0	995.0	50652872.0	1881845174.0	18163.0	21513.0	/scratch1/btsheal/work/0a/4fdfd6abcf25e7486b78cfbe07eeec			16	breast.003.001	v100	18b	2
0a/75098e	116	3787140.pbs02	similarity_chunk	breast.002.003/7	similarity_chunk (breast.002.003/7)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633910696059	1633913334067	1633914443479	3747420	1131302		195.6	0.1	495431680.0	11739496448.0	501407744.0	11840208896.0	37050846.0	3404128359.0	3766.0	734.0	68074879.0	3404120550.0	20359.0	43436.0	/scratch1/btsheal/work/0a/75098ea0acf0e0207e054c94e07cf9			12	breast.002.003	v100	18b	2
0a/8b0520	59	3752242.pbs02	similarity_chunk	breast.004.004/14	similarity_chunk (breast.004.004/14)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633439565223	1633445214493	1633459767184	20201961	14551680		198.9	0.4	560041984.0	16301182976.0	562438144.0	16301236224.0	95121088.0	13688454411.0	7156.0	1548.0	126499061.0	13688440225.0	26233.0	560493.0	/scratch1/btsheal/work/0a/8b052050d07c524c7f3b3da7d3685e			16	breast.004.004	p100	16	2
