hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	abd_bytes	chunks	dataset	node_type
27/356aee	80	3823503.pbs02	similarity_merge	breast.004.004	similarity_merge (breast.004.004)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1634183147892	1634183163117	1634211726544	28578652	28547949		72.6	0.8	242855936.0	1212272640.0	242876416.0	1212325888.0	218473362657.0	141096564749.0	12456.0	460344213.0	218508149511.0	141096560608.0	21849249.0	28718.0	/scratch1/btsheal/work/27/356aeee52a0eb86b90dbd7c420a8c6			2.18473e+11	4	breast.004.004	1a
27/9a7fd3	212	3814444.pbs02	similarity_merge	breast.003.001	similarity_merge (breast.003.001)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1634041582937	1634041604942	1634046033616	4450679	4427154		73.4	0.4	105963520.0	1074888704.0	110977024.0	1080254464.0	30292565646.0	19171984738.0	7248.0	225543665.0	30327352744.0	19171980790.0	2830408.0	10470.0	/scratch1/btsheal/work/27/9a7fd3876098e1faa4b43a308df7eb			3.0292e+10	16	breast.003.001	1a
2b/2d35be	118	3729705.pbs02	similarity_merge	breast.004.003	similarity_merge (breast.004.003)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633297307392	1633297317127	1633317944470	20637078	20625135		83.4	0.6	183537664.0	1153015808.0	185221120.0	1221931008.0	162627471163.0	103891108254.0	12456.0	446838959.0	162662258260.0	103891104091.0	16297148.0	107307.0	/scratch1/btsheal/work/2b/2d35be1162f5f9ed579a12b203f5b5			1.62627e+11	8	breast.004.003	1a
2b/b3d2e3	69	3647910.pbs02	similarity_merge	breast.001.004	similarity_merge (breast.001.004)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632660080358	1632660088790	1632661836496	1756138	1731239		77.1	0.5	141324288.0	1110167552.0	176943104.0	1145810944.0	13684622209.0	8808154871.0	1299.0	28736810.0	13719409322.0	8808151013.0	1284646.0	2243.0	/scratch1/btsheal/work/2b/b3d2e31b3fa8cff722ad5e90b08c28			1.36842e+10	16	breast.001.004	1a
2d/dd1e19	109	3777565.pbs02	similarity_merge	breast.002.001	similarity_merge (breast.002.001)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633794103500	1633794115938	1633795990224	1886724	1863799		80.7	0.3	105181184.0	1074630656.0	114049024.0	1083535360.0	13505749371.0	8454391553.0	3500.0	99457269.0	13540536708.0	8454395253.0	1282082.0	5230.0	/scratch1/btsheal/work/2d/dd1e19d23beb7cd8ca7962f50bfb51			1.35053e+10	8	breast.002.001	1a
2e/fa7302	67	3822766.pbs02	similarity_merge	breast.003.002	similarity_merge (breast.003.002)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1634163666422	1634163676362	1634174071020	10404598	10380369		71.3	0.8	144527360.0	1113690112.0	160481280.0	1196883968.0	60726571401.0	38548051946.0	7231.0	243200402.0	60761363724.0	38548047903.0	3609995.0	15685.0	/scratch1/btsheal/work/2e/fa730238de2957a29a58981b0c7057			6.0726e+10	4	breast.003.002	4
30/42c3b2	211	3814442.pbs02	similarity_merge	breast.002.003	similarity_merge (breast.002.003)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1634041493663	1634041521423	1634047109355	5615692	5594419		72.8	0.6	182542336.0	1151709184.0	182542336.0	1151762432.0	40622187477.0	25979607122.0	3501.0	111737861.0	40656974708.0	25979603070.0	3724380.0	5507.0	/scratch1/btsheal/work/30/42c3b26ba5d8ed06ea3f0ee61d327f			4.06217e+10	16	breast.002.003	1a
32/aaf9cc	39	3654996.pbs02	similarity_merge	breast.001.002	similarity_merge (breast.001.002)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632763299703	1632763313484	1632764340442	1040739	1014552		80.4	0.8	137740288.0	1107025920.0	140353536.0	1109635072.0	6770032766.0	4279987407.0	1281.0	27001250.0	6804825909.0	4279983686.0	910044.0	4734.0	/scratch1/btsheal/work/32/aaf9cc4e47bd4501bd3d1ebe2f0cbe			6.76962e+09	8	breast.001.002	2b
33/c341c2	37	3686293.pbs02	similarity_merge	breast.001.001	similarity_merge (breast.001.001)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632933279641	1632933293464	1632933756592	476951	463394		83.3	0.4	106020864.0	1075277824.0	115617792.0	1085042688.0	3367313061.0	2139533439.0	1298.0	25167772.0	3402100181.0	2139537303.0	332415.0	1819.0	/scratch1/btsheal/work/33/c341c2217d56a945b5ae7e126ccdd5			3.36689e+09	8	breast.001.001	1a
33/cd060c	23	3679941.pbs02	similarity_merge	breast.001.004	similarity_merge (breast.001.004)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632899532751	1632899547402	1632901292242	1759491	1740016		83.2	0.7	213471232.0	1182478336.0	213471232.0	1182531584.0	13679499084.0	8805638386.0	1298.0	28728599.0	13714286244.0	8805634648.0	1331138.0	2476.0	/scratch1/btsheal/work/33/cd060c24497495173c96e5acb7cb25			1.3679e+10	4	breast.001.004	1a
35/5b65ab	209	3757148.pbs02	similarity_merge	breast.002.003	similarity_merge (breast.002.003)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633470332511	1633470346612	1633475253057	4920546	4904513		81.4	0.6	204218368.0	1173757952.0	204414976.0	1241210880.0	40622187675.0	25979607062.0	3532.0	111737861.0	40656974708.0	25979603070.0	3846047.0	12510.0	/scratch1/btsheal/work/35/5b65ab5a44469191bbeba642994644			4.06217e+10	16	breast.002.003	1a
36/3f8765	159	3770701.pbs02	similarity_merge	breast.002.004	similarity_merge (breast.002.004)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633643275233	1633643285560	1633652539088	9263855	9236493		58.6	0.7	212762624.0	1181999104.0	213098496.0	1182429184.0	54676387143.0	35299374969.0	3533.0	115167391.0	54711178314.0	35299378334.0	5161372.0	7872.0	/scratch1/btsheal/work/36/3f876500fb3a74396f0f072821af16			5.46759e+10	12	breast.002.004	1a
38/27c71d	164	3770917.pbs02	similarity_merge	breast.004.001	similarity_merge (breast.004.001)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633649185681	1633649198371	1633658189520	9003839	8972835		65.5	0.4	112340992.0	1081688064.0	114700288.0	1084350464.0	53820390120.0	33902839273.0	12448.0	398844880.0	53855181284.0	33902842667.0	5046620.0	9093.0	/scratch1/btsheal/work/38/27c71d4b1dac0fef39f4826c76bcad			5.38198e+10	12	breast.004.001	1a
3d/80a75f	24	3679942.pbs02	similarity_merge	breast.001.002	similarity_merge (breast.001.002)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632899777515	1632899792415	1632900612304	834789	806884		84.1	0.5	139005952.0	1108848640.0	139251712.0	1108901888.0	6767356729.0	4278591895.0	1298.0	26992445.0	6802143889.0	4278588252.0	660242.0	1351.0	/scratch1/btsheal/work/3d/80a75fb8f366a9f1b312f24359077b			6.76693e+09	4	breast.001.002	1a
3d/b0af24	21	3679938.pbs02	similarity_merge	breast.001.003	similarity_merge (breast.001.003)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632899222809	1632899238022	1632900355793	1132984	1114164		81.7	0.6	193712128.0	1172541440.0	205475840.0	1174638592.0	10121178735.0	6481426695.0	1298.0	27875786.0	10155969706.0	6481430480.0	1022383.0	1461.0	/scratch1/btsheal/work/3d/b0af241ade8b30ba2a59d0995d8318			1.01207e+10	4	breast.001.003	1a
3f/7c43d2	75	3823002.pbs02	similarity_merge	breast.004.003	similarity_merge (breast.004.003)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1634171710291	1634171719727	1634193895632	22185341	22145140		72.1	0.7	210870272.0	1180274688.0	210870272.0	1180327936.0	162627470838.0	103891108217.0	12425.0	446838959.0	162662254164.0	103891104091.0	15046049.0	22389.0	/scratch1/btsheal/work/3f/7c43d2c76aa000f30d014452ae573a			1.62627e+11	4	breast.004.003	1a
40/f9d95f	126	3730635.pbs02	similarity_merge	breast.003.004	similarity_merge (breast.003.004)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633306941001	1633306946363	1633321588944	14647943	14625721		80.8	0.7	215752704.0	1184555008.0	216014848.0	1184735232.0	122707006244.0	79152241969.0	7251.0	258242828.0	122741793420.0	79152237838.0	12107204.0	16051.0	/scratch1/btsheal/work/40/f9d95fe5304b9906870bb2503ef4fa			1.22706e+11	8	breast.003.004	1a
41/a2b8cd	113	3777608.pbs02	similarity_merge	breast.002.004	similarity_merge (breast.002.004)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633796913131	1633796922696	1633805104337	8191206	8172728		76.7	1.3	219688960.0	1189265408.0	220229632.0	1256939520.0	54676373701.0	35299374880.0	3516.0	115167391.0	54711166020.0	35299378334.0	3455735.0	12191.0	/scratch1/btsheal/work/41/a2b8cd913aad2a8b770bdb7e1f3c96			5.46759e+10	8	breast.002.004	4
45/2c34a5	22	3633488.pbs02	similarity_merge	breast.001.001	similarity_merge (breast.001.001)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	43200000			1	1632499389790	1632499407286	1632499899415	509625	491450		83.2	0.3	102240256.0	1071198208.0	102555648.0	1071751168.0	3368819256.0	2140330658.0	1280.0	25177157.0	3403611705.0	2140327091.0	191960.0	4178.0	/scratch1/btsheal/work/45/2c34a58e2668ec85c9890a944d359f			3.36841e+09	4	breast.001.001	5a
46/d35cc4	132	3732378.pbs02	similarity_merge	breast.004.004	similarity_merge (breast.004.004)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633326021435	1633326041327	1633352699088	26677653	26644771		82.7	0.7	221536256.0	1191288832.0	221851648.0	1258766336.0	218473362412.0	141096564784.0	12456.0	460344213.0	218508145415.0	141096560608.0	21503589.0	193733.0	/scratch1/btsheal/work/46/d35cc47cb56153a86a653907cc8493			2.18473e+11	8	breast.004.004	1a
4a/068844	26	3680006.pbs02	similarity_merge	breast.001.002	similarity_merge (breast.001.002)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632913626633	1632913637773	1632914389713	763080	746766		82.3	0.5	142635008.0	1111863296.0	142802944.0	1111916544.0	6767357015.0	4278591879.0	1298.0	26992445.0	6802139793.0	4278588252.0	676074.0	1147.0	/scratch1/btsheal/work/4a/068844e9dbe6bf4e2ab748edd73b70			6.76693e+09	4	breast.001.002	1a
4a/aa2408	205	3757087.pbs02	similarity_merge	breast.003.003	similarity_merge (breast.003.003)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633468617785	1633468641606	1633479658705	11040920	11011769		83.3	0.6	181493760.0	1150722048.0	209448960.0	1178918912.0	91692019724.0	58879776017.0	7250.0	253242900.0	91726806755.0	58879779321.0	8930687.0	13741.0	/scratch1/btsheal/work/4a/aa24083a53f009ac969063af4877dd			9.16915e+10	16	breast.003.003	1a
4b/f317f8	64	3822124.pbs02	similarity_merge	breast.003.001	similarity_merge (breast.003.001)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1634162316294	1634162326486	1634167072976	4756682	4731796		71.8	0.4	107540480.0	1076547584.0	107622400.0	1143910400.0	30292565302.0	19171984643.0	7218.0	225543666.0	30327352738.0	19171980790.0	2775941.0	12144.0	/scratch1/btsheal/work/4b/f317f8941a4fb8b683427f013bdbe1			3.0292e+10	4	breast.003.001	1a
4e/64663d	215	3814454.pbs02	similarity_merge	breast.002.002	similarity_merge (breast.002.002)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1634041919105	1634041928774	1634045702904	3783799	3764972		73.7	0.5	143564800.0	1112633344.0	160387072.0	1129611264.0	26826074003.0	17087236810.0	3531.0	107802508.0	26860856933.0	17087232886.0	2617024.0	4468.0	/scratch1/btsheal/work/4e/64663d796a14c1039b3291a8410f3c			2.68256e+10	16	breast.002.002	1a
4e/8b85c1	213	3814449.pbs02	similarity_merge	breast.004.004	similarity_merge (breast.004.004)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1634041667086	1634041682969	1634071358160	29691074	29655405		70.9	0.7	221384704.0	1190662144.0	221995008.0	1191112704.0	218473362450.0	141096564886.0	12456.0	460344213.0	218508145421.0	141096560608.0	20139742.0	28855.0	/scratch1/btsheal/work/4e/8b85c1fa3c7e14266b39c28e294cc4			2.18473e+11	16	breast.004.004	1a
4f/2278f0	42	3674858.pbs02	similarity_merge	breast.001.004	similarity_merge (breast.001.004)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632837307626	1632837322624	1632838937831	1630205	1610772		82.6	0.7	220184576.0	1188929536.0	220200960.0	1256095744.0	13679498920.0	8805638439.0	1269.0	28728601.0	13714286244.0	8805634648.0	1404031.0	2249.0	/scratch1/btsheal/work/4f/2278f000efe771dad43172193b3b29			1.3679e+10	8	breast.001.004	1a
51/60cef3	41	3686484.pbs02	similarity_merge	breast.001.004	similarity_merge (breast.001.004)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632933937307	1632933947279	1632935557840	1620533	1597648		84.0	0.7	210649088.0	1179664384.0	211935232.0	1181020160.0	13679499127.0	8805638424.0	1299.0	28728600.0	13714286244.0	8805634648.0	1259578.0	6069.0	/scratch1/btsheal/work/51/60cef390b152bb771cbd4cf95ecf64			1.3679e+10	8	breast.001.004	1a
54/c01866	110	3777566.pbs02	similarity_merge	breast.004.004	similarity_merge (breast.004.004)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633794123765	1633794134355	1633820677328	26553563	26525278		80.6	0.7	222490624.0	1191690240.0	222490624.0	1191743488.0	218473362190.0	141096564754.0	12425.0	460344213.0	218508145415.0	141096560608.0	20998004.0	30729.0	/scratch1/btsheal/work/54/c01866102d4b32bea368c09f97536b			2.18473e+11	8	breast.004.004	1a
5a/6a4cf0	118	3777647.pbs02	similarity_merge	breast.003.002	similarity_merge (breast.003.002)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633799253571	1633799269120	1633808706768	9453197	9429393		76.9	0.8	140374016.0	1109147648.0	140374016.0	1176309760.0	60726571388.0	38548051954.0	7230.0	243200401.0	60761363724.0	38548047903.0	3822377.0	49236.0	/scratch1/btsheal/work/5a/6a4cf0525fca55ed2731417f05b154			6.0726e+10	8	breast.003.002	4
5e/ca6bb9	166	3787507.pbs02	similarity_merge	breast.003.004	similarity_merge (breast.003.004)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633917957401	1633917966093	1633932562128	14604727	14571239		82.6	0.7	221351936.0	1190547456.0	221630464.0	1190772736.0	122707006362.0	79152242020.0	7251.0	258242828.0	122741793426.0	79152237838.0	12094876.0	19521.0	/scratch1/btsheal/work/5e/ca6bb9dbd9cadeb3c72bb2b5725d90			1.22706e+11	12	breast.003.004	1a
61/c30db5	210	3814440.pbs02	similarity_merge	breast.004.003	similarity_merge (breast.004.003)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1634041468279	1634041484151	1634063482064	22013785	21981188		73.3	0.6	184049664.0	1153265664.0	212697088.0	1181966336.0	162627471193.0	103891108360.0	12456.0	446838959.0	162662258266.0	103891104091.0	15411477.0	22868.0	/scratch1/btsheal/work/61/c30db5cef58bc387c4bd69bae2fa90			1.62627e+11	16	breast.004.003	1a
64/0132dc	125	3730447.pbs02	similarity_merge	breast.003.002	similarity_merge (breast.003.002)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633304867501	1633304877377	1633312416464	7548963	7524874		82.6	0.5	160301056.0	1129885696.0	160608256.0	1130242048.0	60726584799.0	38548051912.0	7249.0	243200402.0	60761371916.0	38548047903.0	6138605.0	10510.0	/scratch1/btsheal/work/64/0132dc20c0dde2dca06ef5203ac0b9			6.0726e+10	8	breast.003.002	1a
65/b5a9f5	161	3770712.pbs02	similarity_merge	breast.004.003	similarity_merge (breast.004.003)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633643556952	1633643566435	1633665307344	21750392	21719957		74.7	0.7	208379904.0	1177911296.0	208379904.0	1177964544.0	162627471213.0	103891109016.0	12456.0	446838962.0	162662258266.0	103891112283.0	15488009.0	42983.0	/scratch1/btsheal/work/65/b5a9f5ddec35866ad0742f22dbecb8			1.62627e+11	12	breast.004.003	1a
69/8adc20	40	3674845.pbs02	similarity_merge	breast.001.002	similarity_merge (breast.001.002)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632836712448	1632836727299	1632837589201	876753	857031		83.7	0.5	141422592.0	1110667264.0	158957568.0	1195630592.0	6767356553.0	4278591937.0	1267.0	26992445.0	6802143889.0	4278588252.0	630708.0	1168.0	/scratch1/btsheal/work/69/8adc2054690712057e9d984282090f			6.76693e+09	8	breast.001.002	1a
6a/9e6032	120	3777672.pbs02	similarity_merge	breast.004.002	similarity_merge (breast.004.002)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1633801180677	1633801194857	1633817388755	16208078	16191184		79.3	0.9	159326208.0	1128374272.0	159326208.0	1195536384.0	107606292709.0	68293194302.0	12438.0	430865343.0	107641085019.0	68293190151.0	6661781.0	26029.0	/scratch1/btsheal/work/6a/9e60329572e18f93b75a7602b071b0			1.07606e+11	8	breast.004.002	4
