hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	abd_bytes	chunks	dataset
33/8bd139	18	1.5323885897197048e+18	similarity_merge	prostate	similarity_merge (prostate)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635448136683	1635448145671	1635457596388	9459705	8109664		90.8	1.6	136818688	1153642496	145076224	1153695744	104606704885	62673431431	11580	401746371	104653500416	62722625536	245606	24753	results-prss/work/33/8bd1393d5425a2bd1baafd83d12592			104606000000.0	4	prostate
58/c3af67	17	7.688612834880093e+18	similarity_merge	rectum	similarity_merge (rectum)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635445256966	1635445265490	1635448135894	2878928	2460054		91.9	0.9	75948032	1089642496	82198528	1091051520	18236363769	10925793243	11624	307741235	17696038912	10927050752	44663	8052	results-prss/work/58/c3af67209eb0d63af154b8a249e589			18235800000.0	4	rectum
7e/7711c9	20	3.546640702080728e+18	similarity_merge	salivary	similarity_merge (salivary)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635471567615	1635471576540	1635473636809	2069194	1756684		92.5	0.8	73326592	1081970688	74108928	1152311296	11195380680	7077579320	11657	283064050	10017247232	7078539264	27489	7414	results-prss/work/7e/7711c9d4261ae24f3b6694dde9c689			11194900000.0	4	salivary
ea/745cdc	19	1.259903461875024e+19	similarity_merge	stomach	similarity_merge (stomach)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635457597193	1635457606036	1635471566769	13969576	12387669		92.9	1.6	139759616	1156096000	148017152	1156149248	119314712709	74222220321	12681	456745677	119361220608	74287874048	281257	40423	results-prss/work/ea/745cdc0baece3bffa127bf89c4fb79			119314000000.0	4	stomach
12/84d9f9	10	1.4021098168894431e+19	similarity_merge	thyroid	similarity_merge (thyroid)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635597144118	1635597153054	1635613903984	16759866	14796218		92.4	2.2	187305984	1203859456	195563520	1203912704	145240882162	89631007128	11807	418831732	145284308992	89638981632	365237	59490	results-tu/work/12/84d9f917e5082b07efefc630a67403			145240000000.0	4	thyroid
8a/3850b3	9	9.123337547943416e+18	similarity_merge	uterus	similarity_merge (uterus)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635590053939	1635590062819	1635597143333	7089394	6285812		93.0	1.2	105115648	1115983872	116092928	1124507648	55136130461	33715855065	11894	398992378	55179649024	33718927360	133278	26701	results-tu/work/8a/3850b3a9e25a0557d5400f3ef98697			55135600000.0	4	uterus
2a/8c114a	20	1.629533740164001e+19	similarity_merge	breast.001.001	similarity_merge (breast.001.001)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635989981464	1635989990208	1635990590468	609004	371598		97.1	1.1	96788480	1112694784	105189376	1112805376	3367252660	2139532119	1243	25167769	1031057408	2139750400	3147	5204	results-breast-001/work/2a/8c114a56832a17fe1b293efe711a2a			3.36689e+09	4	breast.001.001
57/255727	17	9.700811637271532e+18	similarity_merge	breast.001.002	similarity_merge (breast.001.002)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635985841261	1635985850021	1635986820261	979000	713931		92.7	1.6	138432512	1148878848	140865536	1148932096	6767296362	4278591343	1244	26992446	5023883264	4278976512	13180	7697	results-breast-001/work/57/255727f39881fa49fb022ad82e1f35			6.76693e+09	4	breast.001.002
a2/a76312	19	1.4365540542946499e+19	similarity_merge	breast.001.004	similarity_merge (breast.001.004)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635988211631	1635988220176	1635989980533	1768902	1407883		93.1	2.5	211550208	1219846144	211582976	1219899392	13679438725	8805637813	1243	28728598	12879704064	8806477824	32602	11067	results-breast-001/work/a2/a76312ede74116c6d18be02f15a4c9			1.3679e+10	4	breast.001.004
fa/b274a7	18	3.739045974150173e+18	similarity_merge	breast.001.003	similarity_merge (breast.001.003)	COMPLETED	0		systemsgenetics/kinc:3.4.2-cpu	2			8589934592	1	1635986821192	1635986830064	1635988210644	1389452	1067452		92.7	2.0	167403520	1183858688	198619136	1206902784	10121118108	6481425437	1244	27875784	8828588032	6482022400	23323	5342	results-breast-001/work/fa/b274a78d17326c2cc0661ac9d1186f			1.01207e+10	4	breast.001.003
