hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	dataset	chunks	abd_bytes
6f/7f7c28	85	2195907.pbs02	similarity_merge	Yeast.001.001	similarity_merge (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605274531	1618605282043	1618605282048	7517	812		70.3	0.0	3211264.0	227995648.0	3211264.0	227995648.0	5951527.0	7319170.0	1321.0	50422.0	5370838.0	3015453.0	14.0	0.0	/scratch1/btsheal/work/6f/7f7c28a4c3feed9d424c9ab5da397d			Yeast.001.001	8	5326220
11/937355	84	2195908.pbs02	similarity_merge	Yeast.003.001	similarity_merge (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605277601	1618605282064	1618605287023	9422	3534		88.3	0.1	149282816.0	1854238720.0	149626880.0	1913163776.0	46404355.0	29607216.0	1513.0	431721.0	45823609.0	25302777.0	925.0	37.0	/scratch1/btsheal/work/11/937355c2dcefdd2e3458b9b2198455			Yeast.003.001	8	45734560
a6/63fb88	83	2195906.pbs02	similarity_merge	Yeast.006.001	similarity_merge (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605271451	1618605277061	1618605292023	20572	11980		93.4	0.1	149311488.0	1854775296.0	149639168.0	1955127296.0	174828243.0	100104860.0	2158.0	1642620.0	174251610.0	95800225.0	2400.0	91.0	/scratch1/btsheal/work/a6/63fb887d934dda503490daa90ced2a			Yeast.006.001	8	174091892
94/a09d02	86	2195909.pbs02	similarity_merge	Yeast.005.001	similarity_merge (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605280718	1618605287042	1618605297025	16307	8345		93.3	0.1	148013056.0	1854754816.0	148074496.0	1955000320.0	122211917.0	71239060.0	1896.0	1146457.0	121635338.0	66934473.0	2097.0	56.0	/scratch1/btsheal/work/94/a09d02228dc46647cb4372ca2f789c			Yeast.005.001	8	121497796
50/395767	87	2195910.pbs02	similarity_merge	Yeast.008.001	similarity_merge (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605283646	1618605292037	1618605312024	28378	21273		94.8	0.1	148320256.0	1855270912.0	149151744.0	1914974208.0	315173618.0	177048887.0	2823.0	2966187.0	314592852.0	172744145.0	3323.0	91.0	/scratch1/btsheal/work/50/395767b2fee15bf2c15a2015f7add4			Yeast.008.001	8	314392812
03/b8de5b	88	2195911.pbs02	similarity_merge	Yeast.007.001	similarity_merge (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605286611	1618605292041	1618605312043	25432	16390		94.2	0.1	148996096.0	1854746624.0	149024768.0	1955254272.0	239880673.0	135775233.0	2468.0	2256100.0	239299995.0	131470541.0	2100.0	107.0	/scratch1/btsheal/work/03/b8de5b3af223efc40a9b7dc68857b5			Yeast.007.001	8	239122196
53/c2d617	35	2196076.pbs02	similarity_merge	Yeast.002.001	similarity_merge (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607205006	1618607211731	1618607211738	6732	1770		81.2	0.1	147353600.0	1853267968.0	147890176.0	1912528896.0	19939328.0	15050261.0	1397.0	182211.0	19362648.0	10753737.0	574.0	12.0	/scratch1/btsheal/work/53/c2d617c6c44a2f7cc8085e2c1947c4			Yeast.002.001	2	19291728
1a/7e4fdc	33	2196077.pbs02	similarity_merge	Yeast.004.001	similarity_merge (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607208153	1618607216734	1618607221740	13587	5790		91.6	0.1	147566592.0	1854476288.0	148295680.0	1913819136.0	80825118.0	48517326.0	1681.0	756231.0	80244418.0	44212833.0	1130.0	40.0	/scratch1/btsheal/work/1a/7e4fdcb4c81604fefcdd670e9c10bd			Yeast.004.001	2	80133192
11/2d2986	34	2196078.pbs02	similarity_merge	Yeast.003.001	similarity_merge (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607211192	1618607216739	1618607221775	10583	3414		90.5	0.1	147636224.0	1853956096.0	148205568.0	1913446400.0	46404288.0	29607177.0	1515.0	431722.0	45827705.0	25302777.0	821.0	30.0	/scratch1/btsheal/work/11/2d2986dd4f3215b15adb56f02d5367			Yeast.003.001	2	45734560
c2/b240d6	38	2196081.pbs02	similarity_merge	Yeast.001.001	similarity_merge (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607220606	1618607226735	1618607226768	6162	756		71.5	0.0	3497984.0	227995648.0	3497984.0	227995648.0	5951456.0	7319143.0	1321.0	50422.0	5374934.0	3015453.0	18.0	0.0	/scratch1/btsheal/work/c2/b240d6c77bd6cb0533ccff7acb00d6			Yeast.001.001	2	5326220
86/c55a04	36	2196079.pbs02	similarity_merge	Yeast.006.001	similarity_merge (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607214447	1618607221794	1618607231738	17291	11990		94.7	0.1	148738048.0	1854951424.0	149245952.0	1914249216.0	174828234.0	100104812.0	2160.0	1642621.0	174247514.0	95800225.0	2504.0	129.0	/scratch1/btsheal/work/86/c55a04436ec3815d8701fb95d8e7a4			Yeast.006.001	2	174091892
b5/76e450	37	2196080.pbs02	similarity_merge	Yeast.005.001	similarity_merge (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607217651	1618607221798	1618607231755	14104	8363		93.9	0.1	147636224.0	1854472192.0	148336640.0	1955000320.0	122211920.0	71239015.0	1897.0	1146458.0	121631242.0	66934473.0	1604.0	58.0	/scratch1/btsheal/work/b5/76e450892c40ebd68b55a716f30dec			Yeast.005.001	2	121497796
f2/15b66b	39	2196082.pbs02	similarity_merge	Yeast.007.001	similarity_merge (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607223765	1618607231768	1618607246739	22974	16189		95.8	0.1	148279296.0	1854967808.0	148369408.0	1955254272.0	239880660.0	135775186.0	2468.0	2256100.0	239299995.0	131470541.0	2341.0	79.0	/scratch1/btsheal/work/f2/15b66b2d3c5358f952fc25923861cc			Yeast.007.001	2	239122196
96/09e76a	40	2196083.pbs02	similarity_merge	Yeast.008.001	similarity_merge (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607226674	1618607231772	1618607256737	30063	20982		95.0	0.1	151146496.0	1855582208.0	151982080.0	1955381248.0	315173535.0	177048834.0	2824.0	2966187.0	314592852.0	172744145.0	3169.0	156.0	/scratch1/btsheal/work/96/09e76af65fc32e3365ca252913f7ba			Yeast.008.001	2	314392812
c8/75a69d	50	2193629.pbs02	similarity_merge	Yeast.004.001	similarity_merge (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603011628	1618603018535	1618603023537	11909	6618		81.2	0.1	148279296.0	1854398464.0	148467712.0	1954840576.0	80824880.0	48518128.0	1682.0	756235.0	277159618.0	44221025.0	1642.0	58.0	/scratch1/btsheal/work/c8/75a69dbbbebe15366c9ae4234207bc			Yeast.004.001	4	80133192
63/08d4bd	49	2193630.pbs02	similarity_merge	Yeast.002.001	similarity_merge (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603014477	1618603018539	1618603023569	9092	2472		61.3	0.1	146653184.0	1853513728.0	146948096.0	1912528896.0	19939028.0	15049487.0	1393.0	182207.0	213422936.0	10745545.0	917.0	24.0	/scratch1/btsheal/work/63/08d4bd8809b350461383b854417bb4			Yeast.002.001	4	19291728
bb/e74d9a	52	2193634.pbs02	similarity_merge	Yeast.001.001	similarity_merge (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603023214	1618603028541	1618603028546	5332	793		69.6	0.0	3530752.0	227995648.0	3530752.0	227995648.0	5951311.0	7319155.0	1321.0	50422.0	5370838.0	3015453.0	15.0	1.0	/scratch1/btsheal/work/bb/e74d9a45ae5b3e07ea5dbbfddd973f			Yeast.001.001	4	5326220
5c/1cfc3c	53	2193633.pbs02	similarity_merge	Yeast.003.001	similarity_merge (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603020397	1618603028537	1618603033541	13144	4548		72.0	0.1	147357696.0	1853972480.0	147357696.0	1977786368.0	46404076.0	29607206.0	1505.0	431721.0	239801977.0	25302777.0	1130.0	42.0	/scratch1/btsheal/work/5c/1cfc3c237a337236c7bb489bb151c7			Yeast.003.001	4	45734560
8c/119232	51	2193632.pbs02	similarity_merge	Yeast.006.001	similarity_merge (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603017377	1618603023584	1618603038538	21161	11875		94.4	0.1	148193280.0	1854390272.0	148738048.0	1955127296.0	174827994.0	100104816.0	2158.0	1642620.0	174247514.0	95800225.0	2525.0	87.0	/scratch1/btsheal/work/8c/11923269ae0eb4893ade251b1c69fa			Yeast.006.001	4	174091892
69/1758ce	54	2193635.pbs02	similarity_merge	Yeast.005.001	similarity_merge (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603026166	1618603033560	1618603043540	17374	8470		94.2	0.1	150241280.0	1854595072.0	150552576.0	1913597952.0	122211627.0	71239030.0	1895.0	1146458.0	121631242.0	66934473.0	1984.0	83.0	/scratch1/btsheal/work/69/1758ce7ae2e3cd9f37ac923bf48a67			Yeast.005.001	4	121497796
9d/6cae87	55	2193639.pbs02	similarity_merge	Yeast.007.001	similarity_merge (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603032228	1618603038557	1618603053540	21312	16105		95.4	0.1	148709376.0	1854857216.0	149381120.0	1914265600.0	239880487.0	135775204.0	2467.0	2256100.0	239299995.0	131470541.0	2419.0	112.0	/scratch1/btsheal/work/9d/6cae876a058cbb16f4f1b327113b53			Yeast.007.001	4	239122196
e1/a81edd	56	2193637.pbs02	similarity_merge	Yeast.008.001	similarity_merge (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603029225	1618603033563	1618603058539	29314	21483		94.7	0.1	148463616.0	1855152128.0	149143552.0	1914413056.0	315173333.0	177048850.0	2824.0	2966187.0	314592852.0	172744145.0	3688.0	153.0	/scratch1/btsheal/work/e1/a81edd838bd899817f4225e340987a			Yeast.008.001	4	314392812
7d/cf9b2d	145	2196341.pbs02	similarity_merge	Yeast.002.001	similarity_merge (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609668043	1618609674839	1618609674844	6801	1896		78.0	0.1	146886656.0	1853517824.0	146886656.0	1912238080.0	19939396.0	15050368.0	1397.0	182211.0	19366750.0	10753737.0	985.0	15.0	/scratch1/btsheal/work/7d/cf9b2dbe95a21c6c347e5ac7f603d9			Yeast.002.001	16	19291728
39/cd9a88	147	2196342.pbs02	similarity_merge	Yeast.004.001	similarity_merge (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609670999	1618609674868	1618609684845	13846	5845		91.3	0.1	148705280.0	1854619648.0	149209088.0	1913868288.0	80825188.0	48517425.0	1680.0	756231.0	80244424.0	44212833.0	1260.0	45.0	/scratch1/btsheal/work/39/cd9a88e6b2e5900be3250a95145054			Yeast.004.001	16	80133192
7e/ce3c30	148	2196350.pbs02	similarity_merge	Yeast.001.001	similarity_merge (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609677027	1618609684860	1618609684865	7838	830		65.2	0.0	3104768.0	227995648.0	3104768.0	227995648.0	5951572.0	7319216.0	1321.0	50422.0	5370844.0	3015453.0	15.0	0.0	/scratch1/btsheal/work/7e/ce3c3080cbb689e692baa2074cbfbc			Yeast.001.001	16	5326220
5d/8effbc	146	2196347.pbs02	similarity_merge	Yeast.006.001	similarity_merge (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609673998	1618609679846	1618609694845	20847	12675		91.2	0.1	148770816.0	1854492672.0	148885504.0	1913491456.0	174828183.0	100104938.0	2158.0	1642620.0	174251616.0	95800225.0	2459.0	122.0	/scratch1/btsheal/work/5d/8effbc24c3bc5c9cd4cff1036823b4			Yeast.006.001	16	174091892
7e/60a2e1	149	2196351.pbs02	similarity_merge	Yeast.005.001	similarity_merge (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609679914	1618609684884	1618609694866	14952	8564		93.7	0.1	147587072.0	1854320640.0	147587072.0	1955000320.0	122211883.0	71239117.0	1894.0	1146457.0	121631248.0	66934473.0	1834.0	69.0	/scratch1/btsheal/work/7e/60a2e1cf68d7f25628daff996457f7			Yeast.005.001	16	121497796
91/015b0c	150	2196352.pbs02	similarity_merge	Yeast.003.001	similarity_merge (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609682881	1618609689849	1618609694885	12004	3969		82.0	0.1	149663744.0	1854435328.0	150323200.0	1913778176.0	46404403.0	29607351.0	1515.0	431722.0	45827711.0	25302777.0	1355.0	48.0	/scratch1/btsheal/work/91/015b0cbac37b4615449a95f40e178d			Yeast.003.001	16	45734560
48/84a746	151	2196353.pbs02	similarity_merge	Yeast.007.001	similarity_merge (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609685875	1618609689853	1618609709846	23971	16020		95.1	0.1	149200896.0	1855070208.0	149229568.0	1955254272.0	239880807.0	135775308.0	2468.0	2256100.0	239300001.0	131470541.0	2603.0	80.0	/scratch1/btsheal/work/48/84a74660ddb7656ed87ac3df045d33			Yeast.007.001	16	239122196
35/c132f0	152	2196357.pbs02	similarity_merge	Yeast.008.001	similarity_merge (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609688796	1618609694905	1618609714849	26053	21300		95.4	0.1	148963328.0	1854930944.0	149061632.0	1913831424.0	315173650.0	177048957.0	2824.0	2966187.0	314592858.0	172744145.0	3247.0	116.0	/scratch1/btsheal/work/35/c132f0a62006e6f08e6dbec58abd76			Yeast.008.001	16	314392812
c3/25c681	147	2193203.pbs02	similarity_merge	Yeast.002.001	similarity_merge (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598744997	1618598751578	1618598751585	6588	1815		81.0	0.1	147070976.0	1853382656.0	147079168.0	1954570240.0	19938840.0	15049589.0	1394.0	182208.0	19358558.0	10745545.0	743.0	14.0	/scratch1/btsheal/work/c3/25c68144ea72c2871ee38d98976810			Yeast.002.001	16	19291728
d6/abedc2	145	2193204.pbs02	similarity_merge	Yeast.004.001	similarity_merge (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598748146	1618598756581	1618598761582	13436	5727		91.4	0.1	148004864.0	1854349312.0	148738048.0	1954840576.0	80824709.0	48517437.0	1681.0	756232.0	80244424.0	44212833.0	1183.0	37.0	/scratch1/btsheal/work/d6/abedc22fbaacde20b213a808db64f2			Yeast.004.001	16	80133192
4b/b80c43	148	2193206.pbs02	similarity_merge	Yeast.001.001	similarity_merge (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598754956	1618598761597	1618598761602	6646	849		65.0	0.0	3055616.0	227995648.0	3055616.0	227995648.0	5951084.0	7319212.0	1319.0	50421.0	5370844.0	3015453.0	13.0	0.0	/scratch1/btsheal/work/4b/b80c43bf1bed7a7e2154e95561d3f0			Yeast.001.001	16	5326220
31/a0bbb7	149	2193211.pbs02	similarity_merge	Yeast.003.001	similarity_merge (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598757989	1618598766584	1618598766589	8600	3605		87.7	0.1	150106112.0	1853763584.0	150622208.0	1954713600.0	46403896.0	29607296.0	1514.0	431722.0	45823615.0	25302777.0	746.0	20.0	/scratch1/btsheal/work/31/a0bbb783af265c2ee752e90fac214a			Yeast.003.001	16	45734560
39/3de11a	146	2193205.pbs02	similarity_merge	Yeast.006.001	similarity_merge (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598751321	1618598756585	1618598771586	20265	12058		93.8	0.1	149766144.0	1854418944.0	150278144.0	1913761792.0	174827814.0	100104922.0	2157.0	1642619.0	174247520.0	95800225.0	2490.0	102.0	/scratch1/btsheal/work/39/3de11aff4e274a55dd2ba48020806c			Yeast.006.001	16	174091892
e3/df834d	150	2193212.pbs02	similarity_merge	Yeast.005.001	similarity_merge (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598760981	1618598766602	1618598776585	15604	8793		92.9	0.1	147927040.0	1854218240.0	148742144.0	1913606144.0	122211323.0	71239013.0	1896.0	1146456.0	121631036.0	66934357.0	1732.0	111.0	/scratch1/btsheal/work/e3/df834dac1169ba3a14865f281c91bd			Yeast.005.001	16	121497584
f1/1928d1	152	2193213.pbs02	similarity_merge	Yeast.007.001	similarity_merge (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598763969	1618598771599	1618598786587	22618	16881		91.9	0.1	147648512.0	1854328832.0	148090880.0	1955254272.0	239880297.0	135775305.0	2465.0	2256099.0	239300001.0	131470541.0	2706.0	85.0	/scratch1/btsheal/work/f1/1928d13742bfb498616a811444dd89			Yeast.007.001	16	239122196
9c/fa750e	151	2193214.pbs02	similarity_merge	Yeast.008.001	similarity_merge (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598766914	1618598771602	1618598796588	29674	21740		92.3	0.1	148463616.0	1854959616.0	148639744.0	1955381248.0	315173192.0	177048960.0	2823.0	2966187.0	314592858.0	172744145.0	3300.0	170.0	/scratch1/btsheal/work/9c/fa750e594ee0b8cdcdd8295257cefe			Yeast.008.001	16	314392812
87/98a268	146	2197049.pbs02	similarity_merge	Yeast.002.001	similarity_merge (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618616207048	1618616213744	1618616213748	6700	1884		77.6	0.1	146616320.0	1853382656.0	147152896.0	1912643584.0	19939426.0	15050366.0	1395.0	182210.0	19362654.0	10753737.0	1093.0	16.0	/scratch1/btsheal/work/87/98a268271720e61896de8b9f707652			Yeast.002.001	16	19291728
bd/45165a	145	2197050.pbs02	similarity_merge	Yeast.004.001	similarity_merge (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618616210215	1618616218747	1618616223750	13535	7045		76.6	0.1	148590592.0	1854644224.0	148590592.0	1913364480.0	80825234.0	48517437.0	1682.0	756232.0	80244424.0	44212833.0	2115.0	46.0	/scratch1/btsheal/work/bd/45165afd96b97e11c91ad3c94d2e9c			Yeast.004.001	16	80133192
fa/0d9d79	150	2197053.pbs02	similarity_merge	Yeast.001.001	similarity_merge (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618616219556	1618616223774	1618616228756	9200	1513		45.9	0.1	147644416.0	1853276160.0	147644416.0	1954435072.0	5951634.0	7319220.0	1321.0	50422.0	5370844.0	3015453.0	387.0	16.0	/scratch1/btsheal/work/fa/0d9d795b1837fb6a7f3dcb5f199445			Yeast.001.001	16	5326220
ca/b12238	149	2197054.pbs02	similarity_merge	Yeast.003.001	similarity_merge (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618616222553	1618616228767	1618616233755	11202	3873		87.5	0.1	149110784.0	1854046208.0	149364736.0	1913253888.0	46404408.0	29607294.0	1513.0	431720.0	45823615.0	25302777.0	1205.0	33.0	/scratch1/btsheal/work/ca/b12238f26c7f3ea49f6d36d6059759			Yeast.003.001	16	45734560
a0/eb47e2	147	2197051.pbs02	similarity_merge	Yeast.006.001	similarity_merge (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618616213382	1618616218751	1618616238752	25370	16782		72.2	0.1	148107264.0	1854689280.0	148684800.0	1913917440.0	174828341.0	100104984.0	2156.0	1642619.0	174247520.0	95800225.0	1861.0	88.0	/scratch1/btsheal/work/a0/eb47e20475ee93533a1cda3fd896be			Yeast.006.001	16	174091892
