hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	gene_set	n_genes	n_train_samples	n_perturb_samples
60/c551c4	315	2654185.pbs02	visualize	gene-set-014	visualize (gene-set-014)	COMPLETED	0			1	86400000			1	1623176172459	1623176419374	1623176604403	431944	185704		101.0	0.3	442630144	1203200000	442630144	1266900992	481291043	160905557	39415	37712	76310	12087296	5616	495	/scratch1/btsheal/work/60/c551c4c2f17d5647d0575b1613b39b			gene-set-014	7	82	732
01/920d87	307	2654142.pbs02	visualize	gene-set-006	visualize (gene-set-006)	COMPLETED	0			1	86400000			1	1623176067266	1623176464376	1623176650291	583025	187164		101.1	0.3	442388480	1203462144	442388480	1266900992	481299894	161148523	31449	37712	84502	12087296	4027	544	/scratch1/btsheal/work/01/920d87a534e5878dd5a4bf8878044c			gene-set-006	8	82	732
11/121b7e	327	2654247.pbs02	visualize	gene-set-025	visualize (gene-set-025)	COMPLETED	0			1	86400000			1	1623176329398	1623176454403	1623176654418	325020	200218		101.0	0.3	442748928	1203720192	442748928	1266896896	481349059	162737545	30992	37712	133654	12091392	3985	859	/scratch1/btsheal/work/11/121b7eef5f1c6750acf65b1387bea7			gene-set-025	14	82	732
d5/5bfbb0	309	2654152.pbs02	visualize	gene-set-008	visualize (gene-set-008)	COMPLETED	0			1	86400000			1	1623176093419	1623176489386	1623176754398	660979	264649		102.0	0.3	448053248	1213157376	448053248	1266958336	481408723	164950002	32586	37712	190998	15081472	5463	670	/scratch1/btsheal/work/d5/5bfbb051138f20b8a6a32fe883bd7b			gene-set-008	21	82	732
92/56d8c0	310	2654158.pbs02	visualize	gene-set-010	visualize (gene-set-010)	COMPLETED	0			1	86400000			1	1623176106485	1623176504388	1623176764414	657929	261754		102.1	0.3	447950848	1213161472	447950848	1266962432	481410142	164977305	34233	37712	195094	15081472	3861	867	/scratch1/btsheal/work/92/56d8c07ec9d1d3b003b490c3305a17			gene-set-010	21	82	732
30/562005	348	2654358.pbs02	visualize	gene-set-046	visualize (gene-set-046)	COMPLETED	0			1	86400000			1	1623176604448	1623176609452	1623176824486	220038	214478		100.8	0.3	446013440	1208528896	446013440	1266954240	481391271	164242858	32543	37712	174614	15077376	5663	571	/scratch1/btsheal/work/30/5620052c80a26096f08391a584babe			gene-set-046	19	82	732
3f/6c8bd7	313	2654174.pbs02	visualize	gene-set-012	visualize (gene-set-012)	COMPLETED	0			1	86400000			1	1623176146104	1623176664399	1623176849427	703323	184472		101.0	0.3	442236928	1203200000	442236928	1266900992	481282302	160703751	35556	37712	68118	12075008	4036	992	/scratch1/btsheal/work/3f/6c8bd7e1e0e8588fe66d22d1549b56			gene-set-012	6	82	732
d7/7b025e	331	2654267.pbs02	visualize	gene-set-031	visualize (gene-set-031)	COMPLETED	0			1	86400000			1	1623176382238	1623176659426	1623176854451	472213	194260		101.0	0.3	442236928	1203724288	442236928	1266900992	481323136	161974241	38519	37712	104982	12091392	3943	546	/scratch1/btsheal/work/d7/7b025e9c90e7db30221a561a50c526			gene-set-031	11	82	732
6a/e8c790	316	2654191.pbs02	visualize	gene-set-015	visualize (gene-set-015)	COMPLETED	0			1	86400000			1	1623176185535	1623176759403	1623176984431	798896	224090		100.7	0.3	442560512	1207685120	442560512	1271123968	481287770	161122137	37103	37712	459549206	12083200	8193	453	/scratch1/btsheal/work/6a/e8c7905525add6c6118afc41f890e4			gene-set-015	8	82	732
ea/ce471f	342	2654326.pbs02	visualize	gene-set-040	visualize (gene-set-040)	COMPLETED	0			1	86400000			1	1623176525833	1623176770100	1623177019460	493627	249673		102.0	0.3	448204800	1208528896	448204800	1266958336	481400583	164604908	35046	37712	182806	15077376	5456	1499	/scratch1/btsheal/work/ea/ce471f8089c621a00ab33306638127			gene-set-040	20	82	732
02/3f8645	326	2654242.pbs02	visualize	gene-set-026	visualize (gene-set-026)	COMPLETED	0			1	86400000			1	1623176316259	1623176830059	1623177034440	718181	203426		101.0	0.3	443154432	1203986432	443154432	1266900992	481366842	163396216	33867	37712	150038	12255232	5536	580	/scratch1/btsheal/work/02/3f8645b203f64f6ffda41e847fea48			gene-set-026	16	82	732
28/c8da46	330	2654263.pbs02	visualize	gene-set-029	visualize (gene-set-029)	COMPLETED	0			1	86400000			1	1623176368970	1623176854445	1623177039444	670474	185322		101.0	0.3	442699776	1203200000	442699776	1266900992	481282595	160675437	30992	37712	68118	12075008	3959	970	/scratch1/btsheal/work/28/c8da466ccbf6a2e4dd0c6fa909539d			gene-set-029	6	82	732
3b/c8df5b	351	2654374.pbs02	visualize	gene-set-049	visualize (gene-set-049)	COMPLETED	0			1	86400000			1	1623176643872	1623176859482	1623177044474	400602	187029		101.1	0.3	442806272	1203462144	442806272	1266900992	481299453	161139750	31198	37712	84502	12083200	3997	465	/scratch1/btsheal/work/3b/c8df5b219caaf93c40053e1f644ad1			gene-set-049	8	82	732
9f/75e14b	336	2654295.pbs02	visualize	gene-set-034	visualize (gene-set-034)	COMPLETED	0			1	86400000			1	1623176447682	1623176994451	1623177214486	766804	219275		100.8	0.3	442761216	1207418880	442761216	1271119872	481271704	160664422	32613	37712	68118	12083200	5573	640	/scratch1/btsheal/work/9f/75e14b7363677de87681f2ffb671d9			gene-set-034	6	82	732
bc/f7111d	324	2654232.pbs02	visualize	gene-set-022	visualize (gene-set-022)	COMPLETED	0			1	86400000			1	1623176290266	1623177044436	1623177234473	944207	190188		101.1	0.3	442343424	1203462144	442343424	1266900992	481308350	161422776	35061	37712	92694	12087296	4013	830	/scratch1/btsheal/work/bc/f7111d7066df03f045d5b05cab7daf			gene-set-022	9	82	732
6e/c6062c	371	2654534.pbs02	visualize	gene-set-071	visualize (gene-set-071)	COMPLETED	0			1	86400000			1	1623177047544	1623177054505	1623177239536	191992	187067		101.1	0.3	442257408	1203458048	442257408	1266896896	481299454	161159121	32568	37712	84502	12091392	4027	519	/scratch1/btsheal/work/6e/c6062c07707c3cb65fafbdf9b9d036			gene-set-071	8	82	732
ee/e47293	349	2654364.pbs02	visualize	gene-set-050	visualize (gene-set-050)	COMPLETED	0			1	86400000			1	1623176617656	1623177044467	1623177254515	636859	210697		100.9	0.3	446423040	1208524800	446423040	1266954240	481393613	164262412	33363	37712	178710	15081472	5627	562	/scratch1/btsheal/work/ee/e472930f2e3ff4d858e7897d237df7			gene-set-050	19	82	732
68/c3514d	341	2654319.pbs02	visualize	gene-set-041	visualize (gene-set-041)	COMPLETED	0			1	86400000			1	1623176512854	1623177029458	1623177284487	771633	254521		102.2	0.3	448974848	1208528896	448974848	1266958336	481399246	164581560	40128	37712	182806	15081472	5461	1119	/scratch1/btsheal/work/68/c3514d785cc0c5988a77637ec19ffd			gene-set-041	20	82	732
26/e83d84	323	2654227.pbs02	visualize	gene-set-021	visualize (gene-set-021)	COMPLETED	0			1	86400000			1	1623176277161	1623177244463	1623177434491	1157330	190085		101.0	0.3	442490880	1203462144	442490880	1266900992	481299822	161180095	33091	37712	84502	12091392	5557	1136	/scratch1/btsheal/work/26/e83d84a68f887815f7190e72c840fe			gene-set-021	8	82	732
88/127ba7	312	2654169.pbs02	visualize	gene-set-011	visualize (gene-set-011)	COMPLETED	0			1	86400000			1	1623176132939	1623177250085	1623177449480	1316541	199543		101.2	0.3	443052032	1203724288	443052032	1266900992	481341197	162530792	31035	37712	125462	12083200	3954	613	/scratch1/btsheal/work/88/127ba7146eafca4a428e9292976473			gene-set-011	13	82	732
60/ac686a	329	2654258.pbs02	visualize	gene-set-028	visualize (gene-set-028)	COMPLETED	0			1	86400000			1	1623176355681	1623177259469	1623177454494	1098813	193467		101.0	0.3	443531264	1203724288	443531264	1266900992	481333712	162234191	30992	37712	117270	12087296	4036	461	/scratch1/btsheal/work/60/ac686a84d786d002865f60b7463ac4			gene-set-028	12	82	732
8a/b8d3ae	335	2654290.pbs02	visualize	gene-set-033	visualize (gene-set-033)	COMPLETED	0			1	86400000			1	1623176434596	1623177219477	1623177464502	1029906	242491		100.8	0.3	443650048	1208205312	443650048	1271119872	481346535	163086938	30981	37712	141846	12087296	5568	977	/scratch1/btsheal/work/8a/b8d3aec991a328af03141bfd8c2488			gene-set-033	15	82	732
6a/65403a	322	2654222.pbs02	visualize	gene-set-023	visualize (gene-set-023)	COMPLETED	0			1	86400000			1	1623176264099	1623177289461	1623177514489	1250390	224795		102.2	0.3	442818560	1203720192	442818560	1266896896	481332769	162270408	35292	37712	117270	12091392	5447	803	/scratch1/btsheal/work/6a/65403ab09c12f72ae3df06c49d1a32			gene-set-023	12	82	732
38/69c5c7	314	2654179.pbs02	visualize	gene-set-013	visualize (gene-set-013)	COMPLETED	0			1	86400000			1	1623176159411	1623177454477	1623177639488	1480077	186315		101.1	0.3	442413056	1203462144	442413056	1266900992	481298956	161165052	32576	37712	84502	12091392	3942	465	/scratch1/btsheal/work/38/69c5c7f16619ed6e3f893885d15fbe			gene-set-013	8	82	732
46/48afeb	345	2654342.pbs02	visualize	gene-set-043	visualize (gene-set-043)	COMPLETED	0			1	86400000			1	1623176565340	1623177439508	1623177654512	1089172	211132		100.9	0.3	445911040	1208266752	445911040	1266958336	481383855	163942495	36323	37712	166422	15077376	5770	736	/scratch1/btsheal/work/46/48afebba00470082e403f8f7c0d1af			gene-set-043	18	82	732
c6/b6b454	365	2654450.pbs02	visualize	gene-set-063	visualize (gene-set-063)	COMPLETED	0			1	86400000			1	1623176827335	1623177464555	1623177674547	847212	213537		101.0	0.3	446238720	1208528896	446238720	1266954240	481400520	164605241	31873	37712	182806	15085568	4116	541	/scratch1/btsheal/work/c6/b6b454cfd0e42d43ea21200230b1ba			gene-set-063	20	82	732
46/b4d31e	361	2654427.pbs02	visualize	gene-set-058	visualize (gene-set-058)	COMPLETED	0			1	86400000			1	1623176775006	1623177469530	1623177709558	934552	239989		100.9	0.3	442884096	1207947264	442884096	1271123968	481337511	162777070	44975	37712	133654	12083200	5535	559	/scratch1/btsheal/work/46/b4d31e86f9669732244e80f337b096			gene-set-058	14	82	732
92/4038e4	369	2654519.pbs02	visualize	gene-set-069	visualize (gene-set-069)	COMPLETED	0			1	86400000			1	1623177007917	1623177524539	1623177749567	741650	228309		102.2	0.3	442781696	1203720192	442781696	1266896896	481342582	162533723	34382	37712	125462	12095488	5463	1096	/scratch1/btsheal/work/92/4038e40ad8c00497d8246ef4882daa			gene-set-069	13	82	732
72/89d9a5	325	2654237.pbs02	visualize	gene-set-024	visualize (gene-set-024)	COMPLETED	0			1	86400000			1	1623176303330	1623177659491	1623177850164	1546834	188877		101.2	0.3	443138048	1203462144	443138048	1266900992	481307294	161394177	30992	37712	92694	12091392	3963	942	/scratch1/btsheal/work/72/89d9a52d7d79f21659fb4054661713			gene-set-024	9	82	732
37/19596d	306	2654137.pbs02	visualize	gene-set-003	visualize (gene-set-003)	COMPLETED	0			1	86400000			1	1623176053983	1623177649484	1623177859518	1805535	209064		100.9	0.3	442920960	1203986432	442920960	1266900992	481374950	163610132	31808	37712	158230	15015936	5681	517	/scratch1/btsheal/work/37/19596da9c64b36c640c755c8a06dc4			gene-set-003	17	82	732
d2/0ea58f	382	2654687.pbs02	visualize	gene-set-080	visualize (gene-set-080)	COMPLETED	0			1	86400000			1	1623177497302	1623177684605	1623177884582	387280	202958		101.1	0.3	444039168	1203986432	444039168	1266900992	481366950	163391080	31421	37712	150038	12226560	3933	525	/scratch1/btsheal/work/d2/0ea58f1c19ad29b4744a899ae06e9e			gene-set-080	16	82	732
fb/1ed018	364	2654446.pbs02	visualize	gene-set-064	visualize (gene-set-064)	COMPLETED	0			1	86400000			1	1623176814282	1623177719549	1623177954567	1140285	235102		100.9	0.3	443564032	1207947264	443564032	1271123968	481321647	162234525	47024	37712	117270	12091392	5548	589	/scratch1/btsheal/work/fb/1ed018359460772973c97e72429dfd			gene-set-064	12	82	732
58/a290fe	384	2654749.pbs02	visualize	gene-set-083	visualize (gene-set-083)	COMPLETED	0			1	86400000			1	1623177663073	1623177759585	1623178004617	341544	243254		102.1	0.3	446189568	1208266752	446189568	1266958336	481382640	163918109	32960	37712	166422	15081472	5463	1213	/scratch1/btsheal/work/58/a290fee130dda39fb23d65425594cc			gene-set-083	18	82	732
d0/f5251d	340	2654314.pbs02	visualize	gene-set-039	visualize (gene-set-039)	COMPLETED	0			1	86400000			1	1623176499838	1623177850189	1623178059567	1559729	203076		100.9	0.3	443375616	1203982336	443375616	1266896896	481359317	163111002	32108	37712	141846	12087296	5561	909	/scratch1/btsheal/work/d0/f5251d1c1bdf7751b64384ca4cfa68			gene-set-039	15	82	732
f6/778b45	343	2654331.pbs02	visualize	gene-set-042	visualize (gene-set-042)	COMPLETED	0			1	86400000			1	1623176539007	1623177864530	1623178064567	1525560	198999		101.1	0.3	443432960	1203720192	443432960	1266896896	481340618	162494772	34166	37712	125462	12087296	3959	521	/scratch1/btsheal/work/f6/778b458ac5feef60c52fcb5c5371ec			gene-set-042	13	82	732
b7/9a2b4b	359	2654416.pbs02	visualize	gene-set-059	visualize (gene-set-059)	COMPLETED	0			1	86400000			1	1623176748678	1623177894555	1623178104582	1355904	211868		101.1	0.3	446103552	1208524800	446103552	1266900992	481391664	164224621	35516	37712	174614	15085568	4137	554	/scratch1/btsheal/work/b7/9a2b4b215a2b0d7a0e0d518ca79ca1			gene-set-059	19	82	732
67/7966b1	339	2654310.pbs02	visualize	gene-set-037	visualize (gene-set-037)	COMPLETED	0			1	86400000			1	1623176486849	1623177964539	1623178189570	1702721	227645		100.8	0.3	443215872	1207685120	443215872	1271123968	481295725	161401040	35478	37712	92694	12087296	5571	474	/scratch1/btsheal/work/67/7966b1fc556b383ab89723c581a73e			gene-set-037	9	82	732
cb/5a08b3	352	2654380.pbs02	visualize	gene-set-051	visualize (gene-set-051)	COMPLETED	0			1	86400000			1	1623176656829	1623178014575	1623178224577	1567748	211615		102.1	0.3	442339328	1203200000	442339328	1266900992	481282972	160665171	36335	37712	68118	12087296	5467	672	/scratch1/btsheal/work/cb/5a08b375987e759a391ecaf04f89b5			gene-set-051	6	82	732
8d/5940dd	356	2654401.pbs02	visualize	gene-set-055	visualize (gene-set-055)	COMPLETED	0			1	86400000			1	1623176709315	1623178064594	1623178249583	1540268	184183		101.1	0.3	442241024	1203200000	442241024	1266900992	481283087	160676593	33834	37712	68118	12083200	5556	1158	/scratch1/btsheal/work/8d/5940dd9f92179592dd463892d30e9f			gene-set-055	6	82	732
de/884ff3	385	2654754.pbs02	visualize	gene-set-084	visualize (gene-set-084)	COMPLETED	0			1	86400000			1	1623177676152	1623178069613	1623178279643	603491	208733		101.1	0.3	442916864	1203986432	442916864	1266900992	481376012	163593167	38724	37712	158230	14913536	4106	507	/scratch1/btsheal/work/de/884ff339592e9458d566540f2a7e3a			gene-set-084	17	82	732
50/dba59f	378	2654618.pbs02	visualize	gene-set-078	visualize (gene-set-078)	COMPLETED	0			1	86400000			1	1623177297556	1623178114607	1623178319638	1022082	207200		101.1	0.3	442908672	1203982336	442908672	1266896896	481375057	163586574	39370	37712	158230	14778368	4084	532	/scratch1/btsheal/work/50/dba59fc2d79e7ac97077ad27ecbc25			gene-set-078	17	82	732
6e/62b682	334	2654284.pbs02	visualize	gene-set-035	visualize (gene-set-035)	COMPLETED	0			1	86400000			1	1623176421519	1623178199561	1623178424597	2003078	225088		100.9	0.3	443437056	1207685120	443437056	1271123968	481288138	161165396	37758	37712	84502	12087296	5560	501	/scratch1/btsheal/work/6e/62b68241a53634c758163741973169			gene-set-035	8	82	732
57/dc0abc	350	2654369.pbs02	visualize	gene-set-048	visualize (gene-set-048)	COMPLETED	0			1	86400000			1	1623176630762	1623178254575	1623178459605	1828843	204885		101.0	0.3	443076608	1203986432	443076608	1266900992	481366660	163424434	37342	37712	150038	12394496	5633	944	/scratch1/btsheal/work/57/dc0abc984bb0848bfaf6bc35b7cec4			gene-set-048	16	82	732
ab/5a1503	332	2654272.pbs02	visualize	gene-set-030	visualize (gene-set-030)	COMPLETED	0			1	86400000			1	1623176395388	1623178229557	1623178489594	2094206	258326		102.0	0.3	448647168	1213153280	448647168	1266954240	481408169	164966856	34841	37712	190998	15077376	5474	1184	/scratch1/btsheal/work/ab/5a1503998a522fb077eb5d737e7a5c			gene-set-030	21	82	732
a8/ac9e6f	357	2654406.pbs02	visualize	gene-set-056	visualize (gene-set-056)	COMPLETED	0			1	86400000			1	1623176722432	1623178289606	1623178489628	1767196	202047		101.3	0.3	443523072	1203724288	443523072	1266900992	481349419	162792509	36405	37712	133654	12091392	4069	522	/scratch1/btsheal/work/a8/ac9e6fde9718f229d75abc59d6cece			gene-set-056	14	82	732
4f/d85deb	360	2654422.pbs02	visualize	gene-set-060	visualize (gene-set-060)	COMPLETED	0			1	86400000			1	1623176761773	1623178324614	1623178539612	1777839	212818		100.9	0.3	446033920	1208528896	446033920	1266958336	481399287	164601084	31858	37712	182806	15077376	4096	502	/scratch1/btsheal/work/4f/d85deb3f323424339fbc2bd9a71764			gene-set-060	20	82	732
5a/3df5a5	390	2654827.pbs02	visualize	gene-set-091	visualize (gene-set-091)	COMPLETED	0			1	86400000			1	1623177886771	1623178434650	1623178664680	777909	234009		100.9	0.3	442789888	1207947264	442789888	1271123968	481320846	162292666	34725	37712	117270	12091392	5563	586	/scratch1/btsheal/work/5a/3df5a5184cc3f53618dcfdc7971bf6			gene-set-091	12	82	732
bc/c8dd78	394	2654893.pbs02	visualize	gene-set-093	visualize (gene-set-093)	COMPLETED	0			1	86400000			1	1623178072657	1623178469658	1623178674679	602022	205378		101.1	0.3	442920960	1203986432	442920960	1266900992	481367574	163425736	37735	37712	150038	12447744	5583	814	/scratch1/btsheal/work/bc/c8dd78d19c58aab88be49a383996bc			gene-set-093	16	82	732
f6/ab40da	380	2654676.pbs02	visualize	gene-set-081	visualize (gene-set-081)	COMPLETED	0			1	86400000			1	1623177471026	1623178494639	1623178704664	1233638	208942		101.0	0.3	443211776	1203982336	443211776	1266896896	481374301	163548977	38849	37712	158230	14512128	4182	575	/scratch1/btsheal/work/f6/ab40dadd1b9798212dd0067d8f78ff			gene-set-081	17	82	732
25/17865a	376	2654607.pbs02	visualize	gene-set-075	visualize (gene-set-075)	COMPLETED	0			1	86400000			1	1623177264246	1623178499634	1623178729660	1465414	228241		102.1	0.3	442929152	1203724288	442929152	1266900992	481341581	162537432	34373	37712	125462	12087296	5460	853	/scratch1/btsheal/work/25/17865a4f772e60e0767a79def9b58b			gene-set-075	13	82	732
b7/0808f8	347	2654354.pbs02	visualize	gene-set-047	visualize (gene-set-047)	COMPLETED	0			1	86400000			1	1623176591334	1623178549602	1623178739630	2148296	191399		101.1	0.3	442908672	1203462144	442908672	1266900992	481324020	161937152	33577	37712	109078	12079104	4006	478	/scratch1/btsheal/work/b7/0808f806957c4321cf25ef54ca6731			gene-set-047	11	82	732
b3/ae8ce2	393	2654875.pbs02	visualize	gene-set-092	visualize (gene-set-092)	COMPLETED	0			1	86400000			1	1623178017738	1623178714667	1623178899700	881962	184299		101.0	0.3	442937344	1203200000	442937344	1266900992	481281971	160683190	32710	37712	64022	12083200	4001	497	/scratch1/btsheal/work/b3/ae8ce216229fac8d041476f2007c14			gene-set-092	6	82	732
f7/58af4e	368	2654469.pbs02	visualize	gene-set-068	visualize (gene-set-068)	COMPLETED	0			1	86400000			1	1623176875796	1623178684644	1623178904667	2028871	221775		101.0	0.3	448761856	1213157376	448761856	1266958336	481407313	164914163	37928	37712	190998	15077376	5699	1162	/scratch1/btsheal/work/f7/58af4e2d0fba2dad5bbffda13b5f63			gene-set-068	21	82	732
49/f4be80	383	2654700.pbs02	visualize	gene-set-082	visualize (gene-set-082)	COMPLETED	0			1	86400000			1	1623177527641	1623178674659	1623178924691	1397050	250583		100.8	0.3	444071936	1208274944	444071936	1271181312	481362524	163588089	30981	37712	158230	14929920	5565	535	/scratch1/btsheal/work/49/f4be802a5c21cb86f78d18da908da9			gene-set-082	17	82	732
af/8c308f	321	2654217.pbs02	visualize	gene-set-020	visualize (gene-set-020)	COMPLETED	0			1	86400000			1	1623176251001	1623178744614	1623178930271	2679270	183479		101.2	0.3	442458112	1203200000	442458112	1266900992	481289809	160894428	36018	37712	72214	12091392	3921	482	/scratch1/btsheal/work/af/8c308fc6a02604cfca931ea4956f24			gene-set-020	7	82	732
cc/3b0609	366	2654456.pbs02	visualize	gene-set-065	visualize (gene-set-065)	COMPLETED	0			1	86400000			1	1623176840362	1623178734634	1623178949663	2109301	214177		102.2	0.3	443994112	1203462144	443994112	1266900992	481299803	161168753	38681	37712	84502	12091392	5441	741	/scratch1/btsheal/work/cc/3b0609627fc47cf3a8268a0e0fbaa5			gene-set-065	8	82	732
ad/2c32fd	317	2654196.pbs02	visualize	gene-set-017	visualize (gene-set-017)	COMPLETED	0			1	86400000			1	1623176198627	1623178904636	1623179094650	2896023	190684		101.1	0.3	442617856	1203462144	442617856	1266900992	481308241	161417571	30994	37712	92694	12091392	5601	556	/scratch1/btsheal/work/ad/2c32fdcd762654f4e1f4986e5f3246			gene-set-017	9	82	732
e5/d00e0a	358	2654411.pbs02	visualize	gene-set-057	visualize (gene-set-057)	COMPLETED	0			1	86400000			1	1623176735547	1623178934657	1623179129669	2394122	191630		101.1	0.3	443113472	1203462144	443113472	1266900992	481324545	161995789	32141	37712	109078	12091392	4048	519	/scratch1/btsheal/work/e5/d00e0a933880a686f8a7c9492fed64			gene-set-057	11	82	732
59/0beee3	363	2654440.pbs02	visualize	gene-set-062	visualize (gene-set-062)	COMPLETED	0			1	86400000			1	1623176801320	1623178944664	1623179154666	2353346	212662		101.0	0.3	446107648	1208266752	446107648	1266954240	481383276	163969123	31387	37712	166422	15081472	4184	845	/scratch1/btsheal/work/59/0beee3cc03a3578c3ffee61de90f19			gene-set-062	18	82	732
c5/9c37b7	355	2654395.pbs02	visualize	gene-set-054	visualize (gene-set-054)	COMPLETED	0			1	86400000			1	1623176696078	1623178934654	1623179164676	2468598	226607		100.9	0.3	443420672	1207685120	443420672	1271123968	481296531	161404931	33780	37712	92694	12087296	5537	608	/scratch1/btsheal/work/c5/9c37b77d443ece59d126cbb52a933f			gene-set-054	9	82	732
31/0865c6	328	2654253.pbs02	visualize	gene-set-027	visualize (gene-set-027)	COMPLETED	0			1	86400000			1	1623176342488	1623178959641	1623179179674	2837186	221914		102.2	0.3	442572800	1203462144	442572800	1266900992	481317502	161687449	32779	37712	100886	12087296	5474	1154	/scratch1/btsheal/work/31/0865c63185da6af46310b5a1e1e435			gene-set-027	10	82	732
49/360409	346	2654349.pbs02	visualize	gene-set-045	visualize (gene-set-045)	COMPLETED	0			1	86400000			1	1623176578315	1623179104652	1623179290302	2711987	186403		101.0	0.3	442277888	1203200000	442277888	1266900992	481291363	160917685	38262	37712	76310	12087296	5598	470	/scratch1/btsheal/work/49/360409ac77a11b8a6d1520bff5d172			gene-set-045	7	82	732
8d/4e852a	337	2654300.pbs02	visualize	gene-set-036	visualize (gene-set-036)	COMPLETED	0			1	86400000			1	1623176460730	1623179134649	1623179329683	2868953	191601		101.1	0.3	442384384	1203462144	442384384	1266638848	481317133	161690103	40138	37712	100886	12091392	3970	468	/scratch1/btsheal/work/8d/4e852a668c8928d4a9f82b35cc0931			gene-set-036	10	82	732
c4/cd9a21	362	2654433.pbs02	visualize	gene-set-061	visualize (gene-set-061)	COMPLETED	0			1	86400000			1	1623176788210	1623179164686	1623179379696	2591486	213487		101.0	0.3	442970112	1203986432	442970112	1266900992	481364937	163323623	36445	37712	150038	12095488	4027	1050	/scratch1/btsheal/work/c4/cd9a2132884a791ef3f22d1d64a367			gene-set-061	16	82	732
