hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	dataset	emx_bytes	ccm_bytes	cmx_bytes	threshold
68/013e43	70	2196097.pbs02	extract	Yeast.005.001	extract (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607268671	1618607276765	1618607931808	663137	657908		27.1	0.1	148643840.0	1854734336.0	148643840.0	1913454592.0	156560071035.0	4805037.0	9556957.0	290.0	156559485753.0	499775.0	9487945.0	152.0	/scratch1/btsheal/work/68/013e43c7333540c040460d1d7bb872			Yeast.005.001		59257657	7676753	0.838002
a1/4a8050	69	2196096.pbs02	extract	Yeast.006.001	extract (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607265693	1618607271748	1618608206834	941141	932809		25.7	0.1	149516288.0	1855520768.0	149516288.0	1914241024.0	232474195097.0	4925401.0	14190391.0	297.0	232473613815.0	620087.0	13967763.0	176.0	/scratch1/btsheal/work/a1/4a80504198d5d4767a72e4aa52cdac			Yeast.006.001		84854043	10946119	0.843002
2f/6ac149	71	2196099.pbs02	extract	Yeast.007.001	extract (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607271679	1618607276768	1618608741881	1470202	1460682		24.2	0.1	150102016.0	1856704512.0	150102016.0	1954226176.0	326600102586.0	5041348.0	19935379.0	304.0	326599517209.0	735960.0	20741653.0	98.0	/scratch1/btsheal/work/2f/6ac14980bb7ac934a996cd96018220			Yeast.007.001		116492411	14978067	0.847002
e2/0758b5	72	2196100.pbs02	extract	Yeast.008.001	extract (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607279850	1618607286757	1618609131904	1852054	1846631		23.4	0.1	150626304.0	1857089536.0	150626304.0	1954222080.0	440230291649.0	4915344.0	26870815.0	296.0	440229706363.0	609927.0	27629814.0	132.0	/scratch1/btsheal/work/e2/0758b5cebfa2f6af6dfef9145ded48			Yeast.008.001		153106013	19638069	0.860002
7a/5df2e6	77	2193648.pbs02	extract	Yeast.001.001	extract (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603058923	1618603063542	1618603083546	24623	17251		39.0	0.1	146984960.0	1853173760.0	146984960.0	1911894016.0	5050048022.0	4575209.0	309520.0	275.0	5049540739.0	270449.0	243642.0	26.0	/scratch1/btsheal/work/7a/5df2e6e36a51932eb6cd45c056f9dd			Yeast.001.001		2639812	375578	0.731003
ea/ef6c92	76	2193647.pbs02	extract	Yeast.002.001	extract (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603055920	1618603063539	1618603153546	97626	88620		34.7	0.1	146804736.0	1853423616.0	146804736.0	1954226176.0	21023742346.0	4675639.0	1284475.0	280.0	21023169528.0	370680.0	1377417.0	57.0	/scratch1/btsheal/work/ea/ef6c92fec7697a60a9987ba3133cdb			Yeast.002.001		9469143	1276339	0.779003
9b/a66d92	81	2193650.pbs02	extract	Yeast.003.001	extract (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603064880	1618603069155	1618603298570	233690	224746		29.6	0.1	147050496.0	1853521920.0	147050496.0	1954226176.0	54116401258.0	4788157.0	3304289.0	288.0	54115816143.0	482995.0	3410602.0	38.0	/scratch1/btsheal/work/9b/a66d92c16a16ee0a67089a9172e0a6			Yeast.003.001		22360474	2942240	0.810002
75/e99a1f	75	2193646.pbs02	extract	Yeast.004.001	extract (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603052947	1618603058585	1618603483589	430642	426417		25.9	0.1	147345408.0	1854210048.0	147345408.0	1954222080.0	100376674988.0	4717946.0	6127794.0	282.0	100376167856.0	412739.0	6181240.0	45.0	/scratch1/btsheal/work/75/e99a1fee4614d0272e4d07299a5fc1			Yeast.004.001		39116887	5095883	0.831002
c9/e006a0	86	2193654.pbs02	extract	Yeast.005.001	extract (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603073852	1618603078549	1618603763613	689761	680580		25.4	0.1	148516864.0	1855299584.0	148516864.0	1954226176.0	156560156679.0	4804996.0	9556963.0	287.0	156756633141.0	499775.0	9802847.0	46.0	/scratch1/btsheal/work/c9/e006a0ce49383bb5a765d4f6666ea3			Yeast.005.001	3428061	59257657	7676753	0.838002
cb/c09900	85	2193653.pbs02	extract	Yeast.006.001	extract (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603070866	1618603078546	1618603938631	867765	861433		23.7	0.1	149372928.0	1855520768.0	149372928.0	1914241024.0	232474194809.0	4925393.0	14190389.0	296.0	232473609719.0	620087.0	17337035.0	71.0	/scratch1/btsheal/work/cb/c099002bfed197b06c23139f1adcb0			Yeast.006.001		84854043	10946119	0.843002
88/6f88bb	87	2193655.pbs02	extract	Yeast.007.001	extract (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603076753	1618603083575	1618604413666	1336913	1329717		26.1	0.1	150278144.0	1789468672.0	150278144.0	1848188928.0	326600077043.0	5041273.0	19935367.0	298.0	326782111032.0	735960.0	20268269.0	283.0	/scratch1/btsheal/work/88/6f88bbf41fbb299455610022dc9411			Yeast.007.001	4797438	116492411	14978067	0.847002
54/1aba08	88	2193656.pbs02	extract	Yeast.008.001	extract (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603086569	1618603093552	1618604858698	1772129	1763981		24.2	0.1	150835200.0	1857220608.0	150835200.0	1915940864.0	440230310726.0	4915271.0	26870815.0	291.0	440229728604.0	609927.0	27433784.0	232.0	/scratch1/btsheal/work/54/1aba08ab2e566f70c9498fa1cdd34d			Yeast.008.001	5482943	153106013	19638069	0.860002
e2/02f09e	173	2196366.pbs02	extract	Yeast.001.001	extract (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609715588	1618609719852	1618609739855	24267	18879		33.6	0.1	148885504.0	1852874752.0	148885504.0	1954226176.0	5050003772.0	4575227.0	309517.0	275.0	5049418519.0	270449.0	198136.0	28.0	/scratch1/btsheal/work/e2/02f09e51acfdab3248d5c39ae14561			Yeast.001.001		2639812	375578	0.731003
3d/d26cd7	171	2196364.pbs02	extract	Yeast.002.001	extract (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609709550	1618609714907	1618609814871	105321	97464		30.0	0.1	147156992.0	1853145088.0	147156992.0	1911865344.0	21023695025.0	4675637.0	1284472.0	278.0	21023112838.0	370680.0	1383771.0	17.0	/scratch1/btsheal/work/3d/d26cd7aed8c5346f131bd6eb6dbaec			Yeast.002.001	1373151	9469143	1276339	0.779003
ac/0501d1	182	2196371.pbs02	extract	Yeast.003.001	extract (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609731128	1618609734874	1618609969888	238760	232425		29.6	0.1	147701760.0	1853796352.0	147701760.0	1954222080.0	54116442856.0	4788115.0	3304295.0	286.0	54115860574.0	482995.0	3654995.0	20.0	/scratch1/btsheal/work/ac/0501d196e563d46eb8a0d59162cb61			Yeast.003.001	2057888	22360474	2942240	0.810002
f1/833b18	172	2196365.pbs02	extract	Yeast.004.001	extract (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609712502	1618609719849	1618610134901	422399	416345		27.9	0.1	150626304.0	1854771200.0	150626304.0	1913491456.0	100376764147.0	4717954.0	6127801.0	282.0	100376178830.0	412739.0	6208204.0	104.0	/scratch1/btsheal/work/f1/833b18f3a448a812604e8906de1a34			Yeast.004.001		39116887	5095883	0.831002
fc/00cdc0	181	2196370.pbs02	extract	Yeast.005.001	extract (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609728188	1618609734871	1618610364922	636734	632738		27.2	0.1	149483520.0	1855295488.0	149483520.0	1954222080.0	156560156868.0	4804973.0	9556961.0	287.0	156559578677.0	499775.0	9811952.0	141.0	/scratch1/btsheal/work/fc/00cdc09fc9f6f4cc89a4439f84f0e3			Yeast.005.001	3428061	59257657	7676753	0.838002
a9/bc6244	180	2196369.pbs02	extract	Yeast.006.001	extract (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609725061	1618609729860	1618610659938	934877	926096		24.7	0.1	148500480.0	1855242240.0	148500480.0	1954226176.0	232474150622.0	4925415.0	14190387.0	297.0	232473565288.0	620087.0	13922215.0	69.0	/scratch1/btsheal/work/a9/bc6244f9aba3140099abba2e96185f			Yeast.006.001		84854043	10946119	0.843002
1e/b5873b	183	2196372.pbs02	extract	Yeast.007.001	extract (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609737887	1618609744863	1618611134967	1397080	1390761		25.7	0.1	150716416.0	1856577536.0	150716416.0	1954226176.0	326600077301.0	5041295.0	19935377.0	301.0	326599494968.0	735960.0	20793754.0	331.0	/scratch1/btsheal/work/1e/b5873b51595bcfdf41304b9a7a5a46			Yeast.007.001	4797438	116492411	14978067	0.847002
2c/0cc83e	184	2196373.pbs02	extract	Yeast.008.001	extract (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609742803	1618609749877	1618611584996	1842193	1833159		24.5	0.1	150593536.0	1857220608.0	150593536.0	1915940864.0	440230310935.0	4915284.0	26870816.0	293.0	440229728604.0	609927.0	27274523.0	126.0	/scratch1/btsheal/work/2c/0cc83e9b360485b1fe95e106a6aa90			Yeast.008.001	5482943	153106013	19638069	0.860002
e1/e622d5	173	2193223.pbs02	extract	Yeast.001.001	extract (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598794299	1618598797552	1618598821590	27291	18796		36.0	0.1	146063360.0	1852604416.0	146063360.0	1954226176.0	5049959256.0	4575212.0	309513.0	275.0	5049374490.0	270436.0	233665.0	14.0	/scratch1/btsheal/work/e1/e622d50e533b118e0422f265dfbc22			Yeast.001.001		2639812	375578	0.731003
8e/9e2d10	171	2193221.pbs02	extract	Yeast.002.001	extract (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598788433	1618598796620	1618598891588	103155	93763		32.8	0.1	148451328.0	1853419520.0	148451328.0	1954226176.0	21023741958.0	4675673.0	1284476.0	282.0	21023165372.0	370677.0	1420306.0	16.0	/scratch1/btsheal/work/8e/9e2d10150e4da3ad1d552823d03516			Yeast.002.001		9469143	1276339	0.779003
e0/4549a4	177	2193225.pbs02	extract	Yeast.003.001	extract (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598800352	1618598806592	1618599031620	231268	225198		29.9	0.1	148881408.0	1853521920.0	148881408.0	1912242176.0	54116400992.0	4788143.0	3304294.0	289.0	54115816145.0	482983.0	3347347.0	64.0	/scratch1/btsheal/work/e0/4549a4dedb5e23545afb9cddc8015c			Yeast.003.001		22360474	2942240	0.810002
12/bb80c8	183	2193229.pbs02	extract	Yeast.007.001	extract (Yeast.007.001)	FAILED	143	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598815018	1618598821621	1618599104237	289219	282616																/scratch1/btsheal/work/12/bb80c87135a353e09914d625be1294		RETRY	Yeast.007.001		116492411	14978067	0.847002
e6/da0c72	172	2193222.pbs02	extract	Yeast.004.001	extract (Yeast.004.001)	FAILED	143	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598791328	1618598797549	1618599106616	315288	309067																/scratch1/btsheal/work/e6/da0c72658dd5fcc12273b5f257056f		RETRY	Yeast.004.001		39116887	5095883	0.831002
22/db125c	184	2193231.pbs02	extract	Yeast.008.001	extract (Yeast.008.001)	FAILED	143	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598824614	1618598831598	1618599111622	287008	280024																/scratch1/btsheal/work/22/db125c2afc78e0d1d80ffa3620bd8d		RETRY	Yeast.008.001		153106013	19638069	0.859002
bc/3f3334	182	2193228.pbs02	extract	Yeast.005.001	extract (Yeast.005.001)	FAILED	143	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598809285	1618598816597	1618599126621	317336	310024																/scratch1/btsheal/work/bc/3f333489ea5181299500cc0ff35a27		RETRY	Yeast.005.001	3428061	59257554	7676740	0.839002
7b/2938b4	178	2193226.pbs02	extract	Yeast.006.001	extract (Yeast.006.001)	FAILED	143	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598803438	1618598811609	1618599146622	343184	335013																/scratch1/btsheal/work/7b/2938b4601339a0c8a6ec4b6bc5b48a		RETRY	Yeast.006.001		84854043	10946119	0.843002
5e/bbd6af	186	2193292.pbs02	extract	Yeast.004.001	extract (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			2	1618599110558	1618599181624	1618599556660	446102	377699		22.0	0.1	148869120.0	1854771200.0	148869120.0	1954226176.0	100376763880.0	4717950.0	6127801.0	283.0	100376178833.0	412739.0	6509295.0	31.0	/scratch1/btsheal/work/5e/bbd6afdcd98b259de9c2ff190cf4f2			Yeast.004.001		39116887	5095883	0.831002
93/9d8a19	188	2193294.pbs02	extract	Yeast.005.001	extract (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			2	1618599129694	1618599181632	1618599791673	661979	607681		24.3	0.1	148529152.0	1855299584.0	148529152.0	1914019840.0	156559861764.0	4790636.0	9556943.0	285.0	156559279658.0	485448.0	10478391.0	232.0	/scratch1/btsheal/work/93/9d8a197658fe47c813e2c93388f1a1			Yeast.005.001	3428061	59257554	7676740	0.839002
2b/50fdc4	189	2193296.pbs02	extract	Yeast.006.001	extract (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			2	1618599149768	1618599181635	1618600021692	871924	835803		25.5	0.1	148467712.0	1855520768.0	148467712.0	1914241024.0	232474194776.0	4925386.0	14190390.0	297.0	232473609674.0	620075.0	17113982.0	66.0	/scratch1/btsheal/work/2b/50fdc43f264be67ecc928e4ba8088b			Yeast.006.001		84854043	10946119	0.843002
d9/c031bc	185	2193291.pbs02	extract	Yeast.007.001	extract (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			2	1618599107654	1618599181619	1618600506722	1399068	1328661		24.2	0.1	150241280.0	1856704512.0	150241280.0	1915424768.0	326600102338.0	5041330.0	19935380.0	304.0	326599517212.0	735946.0	20442896.0	603.0	/scratch1/btsheal/work/d9/c031bc87500149cabbd46395951867			Yeast.007.001		116492411	14978067	0.847002
fc/3d2153	187	2193293.pbs02	extract	Yeast.008.001	extract (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			2	1618599114631	1618599181628	1618600971746	1857115	1788173		24.7	0.1	150151168.0	1857093632.0	150151168.0	1954226176.0	440230291469.0	4940699.0	26870814.0	296.0	440229706372.0	635304.0	28020763.0	148.0	/scratch1/btsheal/work/fc/3d215343160d228a365780b5ca0e17			Yeast.008.001		153106013	19638069	0.859002
1c/b18fea	173	2197066.pbs02	extract	Yeast.001.001	extract (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618616257110	1618616263751	1618616283758	26648	18791		33.1	0.1	145838080.0	1852604416.0	145838080.0	1954226176.0	5049959466.0	4575221.0	309515.0	276.0	5049374117.0	270449.0	286268.0	53.0	/scratch1/btsheal/work/1c/b18fea33e3fb18c8784649a8529294			Yeast.001.001		2639812	375578	0.731003
