hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	gene_set	n_genes	n_train_samples
6f/3ec39e	31	2652520.pbs02	train_target	gene-set-030	train_target (gene-set-030)	COMPLETED	0			1	86400000			1	1623172363973	1623172429058	1623172439061	75088	6414		92.9	1.1	1544019968	26233909248	1544019968	26233982976	85200499	22659275	9148	3998	7353898	7438336	3389	22	/scratch1/btsheal/work/6f/3ec39ec9b09fae87d64e724dc7db7f			gene-set-030	21	82
49/46e51f	32	2652579.pbs02	train_target	gene-set-031	train_target (gene-set-031)	COMPLETED	0			1	86400000			1	1623172390244	1623172429066	1623172439072	48828	5699		90.7	1.1	1518276608	26516680704	1518276608	26583789568	85200337	22536329	10069	3998	7231018	7315456	3481	26	/scratch1/btsheal/work/49/46e51f8b11257aea4a1f267018b262			gene-set-031	11	82
2f/5a7546	33	2652612.pbs02	train_target	gene-set-032	train_target (gene-set-032)	COMPLETED	0			1	86400000			1	1623172403339	1623172429069	1623172439086	35747	5916		92.4	1.1	1515819008	26511769600	1515819008	26511769600	85200302	22474853	9462	3998	7169578	7254016	3483	31	/scratch1/btsheal/work/2f/5a7546ebccd466dbe9f6af6800e12e			gene-set-032	6	82
c3/244bc4	36	2652645.pbs02	train_target	gene-set-035	train_target (gene-set-035)	COMPLETED	0			1	86400000			1	1623172416479	1623172434082	1623172439099	22620	6029		87.7	1.1	1543864320	26236305408	1543864320	26236567552	85200328	22499451	8892	3998	22447658	7278592	7448	14	/scratch1/btsheal/work/c3/244bc418662df887999dc5f43f40a1			gene-set-035	8	82
7e/3c9d9b	34	2652675.pbs02	train_target	gene-set-033	train_target (gene-set-033)	COMPLETED	0			1	86400000			1	1623172429496	1623172499058	1623172504062	74566	5911		87.8	1.1	1499901952	26235441152	1499901952	26235441152	85200366	22585510	8796	3998	7280170	7364608	6907	15	/scratch1/btsheal/work/7e/3c9d9bee577bb2cd26361f37246cdc			gene-set-033	15	82
2f/5367e6	35	2652705.pbs02	train_target	gene-set-034	train_target (gene-set-034)	COMPLETED	0			1	86400000			1	1623172442689	1623172499063	1623172504075	61386	6648		90.1	1.1	1432809472	26161704960	1432809472	26161704960	85200401	22474856	10505	3998	7169578	7254016	6707	23	/scratch1/btsheal/work/2f/5367e65da49b9aafd3797db6680f12			gene-set-034	6	82
f1/0a8575	37	2652713.pbs02	train_target	gene-set-036	train_target (gene-set-036)	COMPLETED	0			1	86400000			1	1623172455653	1623172499066	1623172504091	48438	5635		88.7	0.7	956387328	25901604864	956387328	25901604864	85200408	22524040	8806	3998	7222826	7303168	6798	23	/scratch1/btsheal/work/f1/0a857558d8c894cbc7185c21eb173b			gene-set-036	10	82
80/584546	39	2652717.pbs02	train_target	gene-set-038	train_target (gene-set-038)	COMPLETED	0			1	86400000			1	1623172468611	1623172499069	1623172504105	35494	6081		92.5	1.1	1504948224	26238369792	1504948224	26238631936	85200322	22499449	9800	3998	7194154	7278592	3507	19	/scratch1/btsheal/work/80/584546d2f6a7f6661402e5147aebb5			gene-set-038	8	82
fd/07af8a	38	2652718.pbs02	train_target	gene-set-037	train_target (gene-set-037)	COMPLETED	0			1	86400000			1	1623172481521	1623172499072	1623172504114	22593	5710		88.2	0.7	988381184	25913864192	988381184	25913864192	85200328	22511738	9631	3998	7206442	7290880	3409	24	/scratch1/btsheal/work/fd/07af8ad7a3befcfa3ea9b89fbb50ba			gene-set-037	9	82
1e/8dfc37	40	2652720.pbs02	train_target	gene-set-039	train_target (gene-set-039)	COMPLETED	0			1	86400000			1	1623172494544	1623172554060	1623172559064	64520	5588		91.6	0.8	1062748160	25976246272	1062748160	25976246272	85200369	22585512	9815	3998	7280170	7364608	3347	14	/scratch1/btsheal/work/1e/8dfc3777fc141afd2797fe7e54207a			gene-set-039	15	82
e8/651b27	41	2652722.pbs02	train_target	gene-set-041	train_target (gene-set-041)	COMPLETED	0			1	86400000			1	1623172507526	1623172549063	1623172559075	51549	6372		89.1	1.1	1514819584	26225623040	1514819584	26225623040	85200506	22646994	8795	3998	7341610	7426048	3327	22	/scratch1/btsheal/work/e8/651b274c23210643c90d74b7459b08			gene-set-041	20	82
f1/4b2c7e	42	2652727.pbs02	train_target	gene-set-040	train_target (gene-set-040)	COMPLETED	0			1	86400000			1	1623172520522	1623172549067	1623172559084	38562	5567		88.5	0.7	942084096	25894113280	942084096	25894113280	85200479	22646986	10246	3998	7345706	7426048	3424	20	/scratch1/btsheal/work/f1/4b2c7e3f3bddf1664dc83b3181cc50			gene-set-040	20	82
dc/08414c	43	2652732.pbs02	train_target	gene-set-042	train_target (gene-set-042)	COMPLETED	0			1	86400000			1	1623172533521	1623172554067	1623172559092	25571	6050		92.2	1.1	1524486144	26515058688	1524486144	26515058688	85200352	22560920	8822	3998	7255594	7340032	3565	28	/scratch1/btsheal/work/dc/08414cdcd994e01c1ae7b251cd396f			gene-set-042	13	82
de/849cbe	45	2652733.pbs02	train_target	gene-set-044	train_target (gene-set-044)	COMPLETED	0			1	86400000			1	1623172546580	1623172554071	1623172559103	12523	5637		89.2	0.7	927088640	25886908416	927088640	25886908416	85200366	22573217	9545	3998	7267882	7352320	6793	23	/scratch1/btsheal/work/de/849cbe1499b5548c6f529caf4c16cd			gene-set-044	14	82
a5/ed35d2	44	2652734.pbs02	train_target	gene-set-043	train_target (gene-set-043)	COMPLETED	0			1	86400000			1	1623172559626	1623172564062	1623172574071	14445	6037		92.9	1.2	1554440192	26513682432	1554440192	26580791296	85200491	22622403	8875	3998	7317034	7401472	3408	24	/scratch1/btsheal/work/a5/ed35d2670ce7ab516e25d2eb85710e			gene-set-043	18	82
cc/2c9e94	46	2652739.pbs02	train_target	gene-set-045	train_target (gene-set-045)	COMPLETED	0			1	86400000			1	1623172572696	1623172579067	1623172584071	11375	5927		93.1	1.1	1551872000	26512617472	1552211968	26579726336	85200365	22487149	8818	3998	7181866	7266304	3408	34	/scratch1/btsheal/work/cc/2c9e946d661d668b719a7b9d9ce6f8			gene-set-045	7	82
8f/6e0055	47	2652743.pbs02	train_target	gene-set-047	train_target (gene-set-047)	COMPLETED	0			1	86400000			1	1623172585736	1623172594068	1623172599070	13334	5980		91.5	1.1	1543798784	26511704064	1543798784	26578812928	85200428	22536324	10344	3998	7231018	7315456	3413	25	/scratch1/btsheal/work/8f/6e00550ea081381feb5edb45bba384			gene-set-047	11	82
a6/9da1cf	48	2652748.pbs02	train_target	gene-set-046	train_target (gene-set-046)	COMPLETED	0			1	86400000			1	1623172598819	1623172599748	1623172609072	10253	5414		91.7	1.0	1308532736	26091118592	1308532736	26091118592	85200469	22634693	10169	3998	7329322	7413760	3300	15	/scratch1/btsheal/work/a6/9da1cff3be92a0d3c328c650b87f6f			gene-set-046	19	82
7e/18d235	51	2652754.pbs02	train_target	gene-set-050	train_target (gene-set-050)	COMPLETED	0			1	86400000			1	1623172611866	1623172619071	1623172624075	12209	6706		90.1	1.0	1402892288	26148532224	1402892288	26148532224	85200431	22634679	10219	3998	7329322	7413760	6708	21	/scratch1/btsheal/work/7e/18d235a7ec1a3be7adde79f978ed51			gene-set-050	19	82
e2/d3d254	49	2652760.pbs02	train_target	gene-set-048	train_target (gene-set-048)	COMPLETED	0			1	86400000			1	1623172624940	1623172629071	1623172639074	14134	6439		92.4	1.1	1522991104	26233663488	1522991104	26233925632	85200463	22597799	9410	3998	7292458	7376896	3343	18	/scratch1/btsheal/work/e2/d3d2543e63e854a0bb7734fd59d708			gene-set-048	16	82
cf/b56094	50	2652764.pbs02	train_target	gene-set-049	train_target (gene-set-049)	COMPLETED	0			1	86400000			1	1623172638106	1623172644073	1623172649075	10969	6507		92.2	1.1	1535262720	26233901056	1535262720	26233901056	85200418	22499449	8950	3998	7194154	7278592	3387	21	/scratch1/btsheal/work/cf/b5609475e2caa5396dda888019c179			gene-set-049	8	82
b2/5bf1f1	52	2652769.pbs02	train_target	gene-set-051	train_target (gene-set-051)	COMPLETED	0			1	86400000			1	1623172651286	1623172659074	1623172664078	12792	6628		91.4	1.1	1526947840	26233753600	1526947840	26234015744	85200399	22474854	8795	3998	7173674	7254016	3370	18	/scratch1/btsheal/work/b2/5bf1f1b5d84d395c07c25ac11ff41a			gene-set-051	6	82
66/907d46	54	2652774.pbs02	train_target	gene-set-053	train_target (gene-set-053)	COMPLETED	0			1	86400000			1	1623172664479	1623172669073	1623172679076	14597	6459		92.1	1.1	1525760000	26235781120	1525760000	26236043264	85200439	22536335	8795	3998	7231018	7315456	3333	17	/scratch1/btsheal/work/66/907d46e5abd409d69109e49f015f9d			gene-set-053	11	82
12/1edf63	53	2652780.pbs02	train_target	gene-set-052	train_target (gene-set-052)	COMPLETED	0			1	86400000			1	1623172677806	1623172684073	1623172689078	11272	5649		88.6	0.7	965275648	25906237440	965275648	25906237440	85200397	22511740	8795	3998	7206442	7290880	6794	20	/scratch1/btsheal/work/12/1edf6373a8abe4141a2a7e04f942ce			gene-set-052	9	82
bb/88a3a2	55	2652785.pbs02	train_target	gene-set-054	train_target (gene-set-054)	COMPLETED	0			1	86400000			1	1623172690885	1623172699075	1623172704075	13190	6467		91.7	1.1	1523752960	26233651200	1523752960	26233913344	85200420	22511734	9096	3998	7206442	7290880	3358	17	/scratch1/btsheal/work/bb/88a3a2930a4538bccd23781551fb78			gene-set-054	9	82
2d/e1a411	56	2652791.pbs02	train_target	gene-set-055	train_target (gene-set-055)	COMPLETED	0			1	86400000			1	1623172703986	1623172709075	1623172719080	15094	6404		92.3	1.1	1525321728	26235129856	1525321728	26235392000	85200400	22474856	8925	3998	7173674	7254016	3342	17	/scratch1/btsheal/work/2d/e1a41115b341a9a8f711c5e31a260d			gene-set-055	6	82
45/f6e5bf	57	2652795.pbs02	train_target	gene-set-056	train_target (gene-set-056)	COMPLETED	0			1	86400000			1	1623172717122	1623172724075	1623172729079	11957	6234		92.7	1.1	1549324288	26234007552	1549324288	26234269696	85200458	22573218	9191	3998	7267882	7352320	3391	19	/scratch1/btsheal/work/45/f6e5bf90a3f737e6e6bfe4615de911			gene-set-056	14	82
db/296a50	58	2652800.pbs02	train_target	gene-set-057	train_target (gene-set-057)	COMPLETED	0			1	86400000			1	1623172730303	1623172734077	1623172744082	13779	6238		92.3	1.1	1545273344	26511785984	1545273344	26511785984	85200438	22536326	10389	3998	7231018	7315456	3425	30	/scratch1/btsheal/work/db/296a50181f807c7fa63a507eeff4ba			gene-set-057	11	82
e0/43adc5	59	2652805.pbs02	train_target	gene-set-059	train_target (gene-set-059)	COMPLETED	0			1	86400000			1	1623172743423	1623172749079	1623172754082	10659	6453		89.4	1.1	1526935552	26234040320	1526935552	26234302464	85200511	22634703	9301	3998	7329322	7413760	6711	26	/scratch1/btsheal/work/e0/43adc5cb02fd1ef2749c00925cde5c			gene-set-059	19	82
80/671ce8	61	2652811.pbs02	train_target	gene-set-060	train_target (gene-set-060)	COMPLETED	0			1	86400000			1	1623172756640	1623172764081	1623172769084	12444	6165		92.8	1.2	1554337792	26236792832	1554337792	26237054976	85200456	22646993	8795	3998	7341610	7426048	3385	21	/scratch1/btsheal/work/80/671ce814583da6900ef503c0fcf122			gene-set-060	20	82
a4/938c9b	60	2652817.pbs02	train_target	gene-set-058	train_target (gene-set-058)	COMPLETED	0			1	86400000			1	1623172769706	1623172774082	1623172784085	14379	5877		92.3	1.1	1544441856	26511704064	1545285632	26578812928	85200456	22573211	9594	3998	7267882	7352320	3410	32	/scratch1/btsheal/work/a4/938c9b96548ab7ec230255c4b53dc9			gene-set-058	14	82
4a/e554a7	62	2652824.pbs02	train_target	gene-set-061	train_target (gene-set-061)	COMPLETED	0			1	86400000			1	1623172782852	1623172789082	1623172794085	11233	5846		93.3	1.2	1554477056	26511781888	1554477056	26578890752	85200479	22597815	8795	3998	7292458	7376896	3413	27	/scratch1/btsheal/work/4a/e554a7b1ad1c5512de56726e3f7181			gene-set-061	16	82
c8/6c0ae7	63	2652828.pbs02	train_target	gene-set-062	train_target (gene-set-062)	COMPLETED	0			1	86400000			1	1623172795886	1623172800035	1623172809085	13199	6447		92.6	1.1	1529188352	26236076032	1529188352	26236338176	85200481	22622393	9902	3998	7317034	7401472	3353	20	/scratch1/btsheal/work/c8/6c0ae7d690dc519dc93b5cfee85e7a			gene-set-062	18	82
e7/1259a6	65	2652833.pbs02	train_target	gene-set-064	train_target (gene-set-064)	COMPLETED	0			1	86400000			1	1623172808909	1623172814084	1623172819088	10179	5735		88.5	1.1	1552486400	26511704064	1552486400	26578812928	85200418	22548627	10123	3998	7243306	7327744	7468	15	/scratch1/btsheal/work/e7/1259a62ff9f862482f9719161eeba0			gene-set-064	12	82
7c/dca587	64	2652838.pbs02	train_target	gene-set-063	train_target (gene-set-063)	COMPLETED	0			1	86400000			1	1623172822023	1623172829086	1623172834089	12066	6447		92.5	1.1	1526857728	26233724928	1526857728	26233987072	85200438	22646975	10372	3998	7345706	7426048	3356	16	/scratch1/btsheal/work/7c/dca587d7756427a6884bfba9d9c9cc			gene-set-063	20	82
25/2b71d5	66	2652843.pbs02	train_target	gene-set-065	train_target (gene-set-065)	COMPLETED	0			1	86400000			1	1623172835331	1623172844087	1623172849087	13756	6459		92.9	1.1	1525510144	26234204160	1525510144	26234466304	85200417	22499448	8795	3998	7194154	7278592	3345	20	/scratch1/btsheal/work/25/2b71d515b358699054b26af181b730			gene-set-065	8	82
de/6b4109	67	2652847.pbs02	train_target	gene-set-067	train_target (gene-set-067)	COMPLETED	0			1	86400000			1	1623172848374	1623172854086	1623172859091	10717	5501		91.1	0.8	1093443584	25979916288	1093443584	25979916288	85200380	22487147	10309	3998	7181866	7266304	3309	17	/scratch1/btsheal/work/de/6b4109d37a6692fe04647abfbe6a28			gene-set-067	7	82
a7/595aba	69	2652852.pbs02	train_target	gene-set-068	train_target (gene-set-068)	COMPLETED	0			1	86400000			1	1623172861432	1623172864738	1623172874096	12664	6429		92.3	1.1	1532284928	26238779392	1532284928	26239041536	85200504	22659280	8795	3998	7353898	7438336	3374	16	/scratch1/btsheal/work/a7/595abadc70a2a2cae581e2133efc6c			gene-set-068	21	82
9d/01dbf5	70	2652857.pbs02	train_target	gene-set-069	train_target (gene-set-069)	COMPLETED	0			1	86400000			1	1623172874561	1623172879093	1623172889096	14535	6884		87.6	1.1	1531469824	26491383808	1551790080	26578817024	85200450	22560921	8798	3998	7255594	7340032	6791	29	/scratch1/btsheal/work/9d/01dbf5e8750324d939f3c7e0e130aa			gene-set-069	13	82
24/b3ebab	68	2652862.pbs02	train_target	gene-set-066	train_target (gene-set-066)	COMPLETED	0			1	86400000			1	1623172887659	1623172894092	1623172899096	11437	5341		91.8	1.0	1332183040	26105860096	1332183040	26105860096	85200419	22548622	8796	3998	7247402	7327744	3304	17	/scratch1/btsheal/work/24/b3ebab35c63c9d7007e0622210e8da			gene-set-066	12	82
42/54cfe7	71	2652866.pbs02	train_target	gene-set-071	train_target (gene-set-071)	COMPLETED	0			1	86400000			1	1623172900809	1623172909095	1623172914096	13287	6384		93.2	1.1	1552154624	26234859520	1552154624	26234859520	85200409	22499440	9299	3998	7198250	7278592	3399	35	/scratch1/btsheal/work/42/54cfe75554359e521a8568be942e49			gene-set-071	8	82
76/62faf2	72	2652872.pbs02	train_target	gene-set-070	train_target (gene-set-070)	COMPLETED	0			1	86400000			1	1623172913874	1623172919094	1623172924097	10223	6277		93.0	1.1	1529970688	26236010496	1529970688	26236272640	85200435	22536331	8795	3998	7231018	7315456	3358	19	/scratch1/btsheal/work/76/62faf25a0fb20fd69acdc2fc0809dd			gene-set-070	11	82
38/0a46f2	73	2652877.pbs02	train_target	gene-set-072	train_target (gene-set-072)	COMPLETED	0			1	86400000			1	1623172926945	1623172929769	1623172939099	12154	6261		92.1	1.1	1551069184	26234314752	1551069184	26234576896	85200402	22474857	10351	3998	7169578	7254016	3391	21	/scratch1/btsheal/work/38/0a46f29df274699e078395636bdadd			gene-set-072	6	82
