hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	dataset	hardware_type	chunks	threads
02/c38f77	18	2190708.pbs02	similarity_chunk	Yeast.004.001/3	similarity_chunk (Yeast.004.001/3)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618590982228	1618590987836	1618591052844	70616	64138		99.4	0.1	149925888.0	1857318912.0	150052864.0	1954803712.0	3380583.0	24086847.0	1500.0	289.0	2765098.0	19782696.0	579.0	988.0	/scratch1/btsheal/work/02/c38f77984fd987b34a8a0cd509e782			Yeast.004.001	cpu	4	2
d5/e6fd3a	34	2190720.pbs02	similarity_chunk	Yeast.003.001/1	similarity_chunk (Yeast.003.001/1)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591018496	1618591022825	1618591063644	45148	37426		99.1	0.1	149110784.0	1856348160.0	149184512.0	1954676736.0	2703078.0	16072998.0	1460.0	232.0	2087561.0	11769080.0	346.0	153.0	/scratch1/btsheal/work/d5/e6fd3a2fff78788e33dd7a28c32c60			Yeast.003.001	cpu	4	2
60/46fdb3	35	2190722.pbs02	similarity_chunk	Yeast.003.001/0	similarity_chunk (Yeast.003.001/0)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591024339	1618591032827	1618591067821	43482	37133		99.1	0.1	148590592.0	1856327680.0	148746240.0	1954676736.0	2703070.0	16224786.0	1460.0	232.0	2103945.0	11920872.0	462.0	146.0	/scratch1/btsheal/work/60/46fdb3e80be21cdde260e23edd9b54			Yeast.003.001	cpu	4	2
73/29e638	37	2190723.pbs02	similarity_chunk	Yeast.003.001/2	similarity_chunk (Yeast.003.001/2)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591027283	1618591032830	1618591072822	45539	37454		99.2	0.1	149606400.0	1855549440.0	149958656.0	1954676736.0	2703008.0	15214614.0	1460.0	233.0	2087561.0	10910692.0	460.0	133.0	/scratch1/btsheal/work/73/29e63865055a8a4f8ab2621b874b30			Yeast.003.001	cpu	4	2
27/227f4e	38	2190724.pbs02	similarity_chunk	Yeast.003.001/3	similarity_chunk (Yeast.003.001/3)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591030236	1618591037833	1618591072843	42607	36319		99.1	0.1	151670784.0	1856614400.0	152150016.0	1954676736.0	2703078.0	15437826.0	1460.0	230.0	2087561.0	11133916.0	455.0	143.0	/scratch1/btsheal/work/27/227f4e6780bc28d43ee2f3adbc6be4			Yeast.003.001	cpu	4	2
d6/d71089	32	2190717.pbs02	similarity_chunk	Yeast.005.001/2	similarity_chunk (Yeast.005.001/2)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591009400	1618591017844	1618591123632	114232	106007		99.4	0.1	151625728.0	1857966080.0	151625728.0	1954967552.0	4074551.0	35212772.0	1542.0	376.0	3459062.0	30908168.0	515.0	309.0	/scratch1/btsheal/work/d6/d71089faae83bcc4113626a72552cf			Yeast.005.001	cpu	4	2
88/297c9d	30	2190718.pbs02	similarity_chunk	Yeast.005.001/1	similarity_chunk (Yeast.005.001/1)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591012385	1618591017848	1618591123650	111265	104780		99.5	0.1	151285760.0	1858166784.0	151474176.0	1916887040.0	4074558.0	34403574.0	1543.0	377.0	3459062.0	30098964.0	601.0	260.0	/scratch1/btsheal/work/88/297c9d946a6e20e8b2cf31da057aa1			Yeast.005.001	cpu	4	2
b4/0249a8	31	2190719.pbs02	similarity_chunk	Yeast.005.001/0	similarity_chunk (Yeast.005.001/0)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591015497	1618591022821	1618591127816	112319	104365		99.5	0.1	151867392.0	1858105344.0	152125440.0	1916882944.0	4074557.0	35314110.0	1543.0	377.0	3459062.0	31009504.0	692.0	276.0	/scratch1/btsheal/work/b4/0249a82c27225738e054202a408d3a			Yeast.005.001	cpu	4	2
a1/5510ed	33	2190721.pbs02	similarity_chunk	Yeast.005.001/3	similarity_chunk (Yeast.005.001/3)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591021365	1618591027824	1618591127836	106471	98528		99.5	0.1	153710592.0	1858334720.0	153710592.0	1954967552.0	4074506.0	33785506.0	1543.0	368.0	3459062.0	29480948.0	694.0	236.0	/scratch1/btsheal/work/a1/5510ed87f6836d4b6397c67943fe79			Yeast.005.001	cpu	4	2
55/089100	22	2190709.pbs02	similarity_chunk	Yeast.006.001/0	similarity_chunk (Yeast.006.001/0)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618590985148	1618590992836	1618591142809	157661	148785		99.6	0.1	152129536.0	1858711552.0	152309760.0	1917620224.0	4752093.0	46763317.0	1585.0	466.0	4136598.0	42458312.0	641.0	347.0	/scratch1/btsheal/work/55/089100e73fb36976548a68902886e4			Yeast.006.001	cpu	4	2
c6/cfaa85	20	2190710.pbs02	similarity_chunk	Yeast.006.001/2	similarity_chunk (Yeast.006.001/2)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618590988254	1618590992841	1618591142830	154576	149056		99.6	0.1	155779072.0	1858748416.0	155779072.0	1917468672.0	4752094.0	49039345.0	1584.0	466.0	4136598.0	44734344.0	817.0	387.0	/scratch1/btsheal/work/c6/cfaa852e03c15dfff0bbe4dec7cfe8			Yeast.006.001	cpu	4	2
be/a0dea4	23	2190711.pbs02	similarity_chunk	Yeast.006.001/3	similarity_chunk (Yeast.006.001/3)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618590991360	1618590997834	1618591147808	156448	149340		99.4	0.1	151973888.0	1858711552.0	151973888.0	1955086336.0	4752066.0	47066037.0	1585.0	464.0	4136598.0	42761036.0	760.0	412.0	/scratch1/btsheal/work/be/a0dea48dd0c552cb6ff12318871a38			Yeast.006.001	cpu	4	2
86/e559f7	19	2190712.pbs02	similarity_chunk	Yeast.006.001/1	similarity_chunk (Yeast.006.001/1)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618590994395	1618591003658	1618591147828	153433	145559		99.4	0.1	152309760.0	1858756608.0	152322048.0	1917648896.0	4752105.0	48443198.0	1584.0	465.0	174419606.0	44138200.0	781.0	680.0	/scratch1/btsheal/work/86/e559f7c55c0ceacb49159a58183435			Yeast.006.001	cpu	4	2
a3/cfb6ce	48	2190732.pbs02	similarity_chunk	Yeast.007.001/3	similarity_chunk (Yeast.007.001/3)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591053789	1618591057840	1618591247854	194065	188158		99.6	0.1	153313280.0	1859682304.0	153313280.0	1918656512.0	5446006.0	60118934.0	1627.0	538.0	4830519.0	55813896.0	891.0	417.0	/scratch1/btsheal/work/a3/cfb6ce83a36bea7f78294ce8fa5ef4			Yeast.007.001	cpu	4	2
c5/b5fb1b	46	2190729.pbs02	similarity_chunk	Yeast.007.001/2	similarity_chunk (Yeast.007.001/2)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591045032	1618591052890	1618591252848	207816	200970		99.6	0.1	152559616.0	1859809280.0	152559616.0	1918529536.0	5446016.0	66921631.0	1627.0	544.0	4830519.0	62616588.0	760.0	531.0	/scratch1/btsheal/work/c5/b5fb1ba933dcfd81403885298049b4			Yeast.007.001	cpu	4	2
2d/1b8820	47	2190731.pbs02	similarity_chunk	Yeast.007.001/0	similarity_chunk (Yeast.007.001/0)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591050814	1618591057836	1618591252870	202056	195893		99.5	0.1	152772608.0	1859493888.0	152772608.0	1955213312.0	5445941.0	66580721.0	1625.0	542.0	4830519.0	62275692.0	927.0	1026.0	/scratch1/btsheal/work/2d/1b882010625ea63ae5ce76c18175d8			Yeast.007.001	cpu	4	2
45/f2b238	45	2190730.pbs02	similarity_chunk	Yeast.007.001/1	similarity_chunk (Yeast.007.001/1)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591047896	1618591052893	1618591257846	209950	204957		99.4	0.1	152870912.0	1859514368.0	152870912.0	1955217408.0	5446039.0	62721070.0	1627.0	544.0	4830519.0	58416020.0	623.0	468.0	/scratch1/btsheal/work/45/f2b238dd297dfa6e0c3b916c3fa384			Yeast.007.001	cpu	4	2
17/aa3b45	41	2190725.pbs02	similarity_chunk	Yeast.008.001/1	similarity_chunk (Yeast.008.001/1)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591033186	1618591037837	1618591297839	264653	260307		99.3	0.1	153255936.0	1860509696.0	153255936.0	1955344384.0	6123583.0	83721497.0	1669.0	632.0	175811608.0	79416420.0	991.0	1948.0	/scratch1/btsheal/work/17/aa3b45518aa0145804f8bf16f215af			Yeast.008.001	cpu	4	2
05/d18512	42	2190726.pbs02	similarity_chunk	Yeast.008.001/2	similarity_chunk (Yeast.008.001/2)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591036050	1618591042834	1618591302839	266789	262413		99.6	0.1	155598848.0	1860575232.0	155598848.0	1955344384.0	6123568.0	82884518.0	1669.0	632.0	5508120.0	78579444.0	1107.0	1374.0	/scratch1/btsheal/work/05/d1851241ecd8bc2e4f3368112e552b			Yeast.008.001	cpu	4	2
5b/8fabf3	39	2190727.pbs02	similarity_chunk	Yeast.008.001/0	similarity_chunk (Yeast.008.001/0)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591038906	1618591042837	1618591302858	263952	258305		99.5	0.1	154030080.0	1860321280.0	154030080.0	1955344384.0	6123609.0	84337558.0	1668.0	631.0	5508120.0	80032492.0	1081.0	699.0	/scratch1/btsheal/work/5b/8fabf3f2ba3554d6f9866693815c3e			Yeast.008.001	cpu	4	2
9c/645727	43	2190728.pbs02	similarity_chunk	Yeast.008.001/3	similarity_chunk (Yeast.008.001/3)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	86400000			1	1618591041970	1618591047859	1618591307840	265870	259743		99.5	0.1	153600000.0	1860722688.0	153600000.0	1955344384.0	6123591.0	80669526.0	1669.0	630.0	5508120.0	76364456.0	1002.0	613.0	/scratch1/btsheal/work/9c/64572795a4a7ce060e45bdd8ab0ba4			Yeast.008.001	cpu	4	2
9f/134897	7	2195303.pbs02	similarity_chunk	Yeast.004.001/0	similarity_chunk (Yeast.004.001/0)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604871231	1618604911982	1618604916981	45750	5069		142.8	0.2	331370496.0	16340877312.0	352223232.0	16457392128.0	3645028.0	13968237.0	1706.0	280.0	2797864.0	9675636.0	494.0	159.0	/scratch1/btsheal/work/9f/13489787f9f1436fb407d031c425c7			Yeast.004.001	p100	8	2
8e/b23f8a	12	2195304.pbs02	similarity_chunk	Yeast.004.001/2	similarity_chunk (Yeast.004.001/2)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604874292	1618604911989	1618604917016	42724	5009		145.6	0.2	332099584.0	16338227200.0	352342016.0	16464056320.0	3644939.0	14841944.0	1701.0	276.0	2793768.0	10541944.0	680.0	142.0	/scratch1/btsheal/work/8e/b23f8abbed5cd40d31b77a3f5075cd			Yeast.004.001	p100	8	2
f2/14c01d	11	2195305.pbs02	similarity_chunk	Yeast.004.001/1	similarity_chunk (Yeast.004.001/1)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604877167	1618604911993	1618604917037	39870	4843		144.7	0.2	332328960.0	16340885504.0	352100352.0	16466714624.0	3644958.0	13879890.0	1702.0	276.0	2793768.0	9579888.0	688.0	127.0	/scratch1/btsheal/work/f2/14c01d393a89ec6c3012d7da8f3ad1			Yeast.004.001	p100	8	2
ac/33d0a6	20	2195306.pbs02	similarity_chunk	Yeast.004.001/3	similarity_chunk (Yeast.004.001/3)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604880186	1618604911998	1618604917056	36870	4868		146.2	0.2	333008896.0	16339861504.0	352874496.0	16465690624.0	3644914.0	15346728.0	1704.0	277.0	2789672.0	11046716.0	628.0	128.0	/scratch1/btsheal/work/ac/33d0a67b27f040c85bb35b877ff3f5			Yeast.004.001	p100	8	2
8f/64a1db	21	2195307.pbs02	similarity_chunk	Yeast.004.001/4	similarity_chunk (Yeast.004.001/4)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604883042	1618605021979	1618605026986	143944	5014		144.2	0.2	333504512.0	16340881408.0	352096256.0	16457396224.0	3644894.0	14817796.0	1703.0	278.0	2789672.0	10517776.0	461.0	159.0	/scratch1/btsheal/work/8f/64a1db6f2417e676a8ec967fe602c6			Yeast.004.001	p100	8	2
99/edbf73	22	2195308.pbs02	similarity_chunk	Yeast.004.001/5	similarity_chunk (Yeast.004.001/5)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604886001	1618605021983	1618605027009	141008	5036		145.2	0.2	331513856.0	16339857408.0	352096256.0	16465686528.0	3644751.0	16958552.0	1702.0	276.0	2789672.0	12658552.0	528.0	132.0	/scratch1/btsheal/work/99/edbf73e3f53ecf7085ff38c8c76993			Yeast.004.001	p100	8	2
3f/4f754f	23	2195309.pbs02	similarity_chunk	Yeast.004.001/6	similarity_chunk (Yeast.004.001/6)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604888916	1618605021988	1618605027026	138110	4864		146.0	0.2	332398592.0	16339861504.0	352337920.0	16398581760.0	3644974.0	16089584.0	1705.0	278.0	2789672.0	11789564.0	825.0	125.0	/scratch1/btsheal/work/3f/4f754f8d60cb18d012b9bab83a41ee			Yeast.004.001	p100	8	2
f8/55a521	24	2195310.pbs02	similarity_chunk	Yeast.004.001/7	similarity_chunk (Yeast.004.001/7)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604891801	1618605021992	1618605027046	135245	4616		144.5	0.2	332836864.0	16339865600.0	356229120.0	16465694720.0	3644979.0	13513715.0	1700.0	269.0	2789672.0	9213740.0	557.0	47.0	/scratch1/btsheal/work/f8/55a521d25cdee547cdd663b84ecb19			Yeast.004.001	p100	8	2
ed/23ba99	25	2195311.pbs02	similarity_chunk	Yeast.002.001/0	similarity_chunk (Yeast.002.001/0)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604894649	1618605056983	1618605061986	167337	2876		112.8	0.2	328151040.0	16337915904.0	351002624.0	16387321856.0	2273245.0	7472302.0	1601.0	205.0	1418166.0	3172608.0	393.0	55.0	/scratch1/btsheal/work/ed/23ba99862dce9d7f3123df46a2f0b5			Yeast.002.001	p100	8	2
94/7013eb	27	2195312.pbs02	similarity_chunk	Yeast.002.001/2	similarity_chunk (Yeast.002.001/2)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604897601	1618605058026	1618605062009	164408	2827		112.9	0.2	331026432.0	16337956864.0	354013184.0	16396677120.0	2273209.0	7543954.0	1603.0	205.0	1418166.0	3244264.0	428.0	35.0	/scratch1/btsheal/work/94/7013ebee2991c45c55e6f874e261e7			Yeast.002.001	p100	8	2
35/d67c44	28	2195313.pbs02	similarity_chunk	Yeast.002.001/3	similarity_chunk (Yeast.002.001/3)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604900533	1618605058030	1618605062030	161497	2701		111.1	0.2	330776576.0	16339591168.0	353394688.0	16456105984.0	2273196.0	7770584.0	1599.0	205.0	1418166.0	3470892.0	486.0	34.0	/scratch1/btsheal/work/35/d67c444c62c487523c1c7a00b3ffd7			Yeast.002.001	p100	8	2
02/59519a	26	2195314.pbs02	similarity_chunk	Yeast.002.001/1	similarity_chunk (Yeast.002.001/1)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604903467	1618605058033	1618605062051	158584	2765		112.5	0.2	328876032.0	16337956864.0	350769152.0	16463785984.0	2273217.0	7461498.0	1602.0	206.0	1418166.0	3161796.0	388.0	37.0	/scratch1/btsheal/work/02/59519a7dcbd6e86164c34ba69ae2eb			Yeast.002.001	p100	8	2
09/c5305b	30	2195315.pbs02	similarity_chunk	Yeast.002.001/5	similarity_chunk (Yeast.002.001/5)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604906413	1618605066983	1618605071984	165571	2862		112.1	0.2	330510336.0	16237084672.0	355856384.0	16456114176.0	2273100.0	7096638.0	1600.0	205.0	1418166.0	2796944.0	411.0	55.0	/scratch1/btsheal/work/09/c5305b142f4a0de01b0b50cb33db74			Yeast.002.001	p100	8	2
72/384588	31	2195316.pbs02	similarity_chunk	Yeast.002.001/6	similarity_chunk (Yeast.002.001/6)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604909388	1618605066986	1618605072006	162618	2834		112.0	0.2	328777728.0	16337956864.0	352194560.0	16454471680.0	2273357.0	7502834.0	1602.0	206.0	1418166.0	3203136.0	392.0	31.0	/scratch1/btsheal/work/72/3845889d4fc5d40957c6400ce3bfdb			Yeast.002.001	p100	8	2
93/22dc5e	29	2195317.pbs02	similarity_chunk	Yeast.002.001/4	similarity_chunk (Yeast.002.001/4)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604912356	1618605066990	1618605072025	159669	2636		113.5	0.2	314257408.0	16169484288.0	353005568.0	16465420288.0	2273344.0	6981936.0	1599.0	204.0	1418166.0	2682252.0	396.0	29.0	/scratch1/btsheal/work/93/22dc5e0c52e6531c47c232001dfa44			Yeast.002.001	p100	8	2
9f/2d92bf	33	2195318.pbs02	similarity_chunk	Yeast.006.001/0	similarity_chunk (Yeast.006.001/0)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604915252	1618605072041	1618605081989	166737	8378		164.3	0.2	336310272.0	16340152320.0	355155968.0	16465981440.0	5016736.0	26829340.0	1815.0	397.0	4161172.0	22528784.0	541.0	285.0	/scratch1/btsheal/work/9f/2d92bf5d5383199c0a6d99ff10ff8f			Yeast.006.001	p100	8	2
bc/9f0127	32	2195320.pbs02	similarity_chunk	Yeast.002.001/7	similarity_chunk (Yeast.002.001/7)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604921195	1618605082010	1618605082015	160820	2761		111.5	0.2	318124032.0	16169480192.0	357265408.0	16398307328.0	2273202.0	6741958.0	1601.0	205.0	1418166.0	2442268.0	410.0	32.0	/scratch1/btsheal/work/bc/9f0127bb3bef7327142a624ecdfe9d			Yeast.002.001	p100	8	2
33/5bfc0e	34	2195319.pbs02	similarity_chunk	Yeast.006.001/1	similarity_chunk (Yeast.006.001/1)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604918280	1618605076986	1618605086988	168708	8468		162.6	0.2	333852672.0	16340140032.0	352268288.0	16465969152.0	5016596.0	25820441.0	1819.0	398.0	4161172.0	21519876.0	493.0	299.0	/scratch1/btsheal/work/33/5bfc0edb31c066f77ddecae939e1b6			Yeast.006.001	p100	8	2
cc/4d9b01	35	2195321.pbs02	similarity_chunk	Yeast.006.001/2	similarity_chunk (Yeast.006.001/2)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604924109	1618605082032	1618605087008	162899	8192		165.3	0.2	336388096.0	16340148224.0	355303424.0	16456663040.0	5016752.0	26748573.0	1818.0	398.0	4161172.0	22448012.0	497.0	303.0	/scratch1/btsheal/work/cc/4d9b01220abefe31bdfebd47594f96			Yeast.006.001	p100	8	2
85/1c6153	36	2195322.pbs02	similarity_chunk	Yeast.006.001/3	similarity_chunk (Yeast.006.001/3)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-gpu	1	86400000			1	1618604927039	1618605087023	1618605096989	169950	8442		165.8	0.2	333824000.0	16340148224.0	352059392.0	16456663040.0	5016708.0	27698123.0	1817.0	398.0	4161172.0	23397560.0	586.0	339.0	/scratch1/btsheal/work/85/1c6153329dce12d6f263fc3e13e79b			Yeast.006.001	p100	8	2
