hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	dataset	cmx_bytes
51/fa37e8	106	2195917.pbs02	threshold_rmt	Yeast.005.001	threshold_rmt (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605304309	1618605312069	1618605317022	12713	3766		74.9	0.1	186556416.0	1891381248.0	186556416.0	1954222080.0	9390249243.0	4381455.0	574370.0	3062.0	9389684471.0	3064.0	18080.0	26.0	/scratch1/btsheal/work/51/fa37e8908f2028739c8711557a0570			Yeast.005.001	7676753
1d/b90b89	111	2195935.pbs02	threshold_rmt	Yeast.008.001	threshold_rmt (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605319490	1618605327032	1618605337043	17553	9357		73.7	0.2	247083008.0	1949986816.0	247083008.0	2008707072.0	24297462037.0	4381831.0	1484233.0	3023.0	24296897305.0	2745.0	47282.0	67.0	/scratch1/btsheal/work/1d/b90b89315fffde55d7d4d72f3c0234			Yeast.008.001	19638069
14/c3c80b	115	2195936.pbs02	threshold_rmt	Yeast.007.001	threshold_rmt (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618605322369	1618605327035	1618605337056	14687	7038		75.4	0.1	221630464.0	1926762496.0	221630464.0	1985482752.0	18480431701.0	4384539.0	1129189.0	3126.0	18479866936.0	2872.0	35905.0	40.0	/scratch1/btsheal/work/14/c3c80b95492e6c331e100124e9bbb5			Yeast.007.001	14978067
2d/070280	43	2196084.pbs02	threshold_rmt	Yeast.002.001	threshold_rmt (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607229570	1618607236739	1618607236748	7178	1469		79.6	0.1	158724096.0	1859698688.0	158724096.0	1954226176.0	1491538047.0	4410810.0	92271.0	4193.0	1490973369.0	4355.0	2796.0	11.0	/scratch1/btsheal/work/2d/070280a39af22b0e4b96cc5a231cc6			Yeast.002.001	1276339
c1/df7adc	44	2196085.pbs02	threshold_rmt	Yeast.004.001	threshold_rmt (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607232622	1618607236759	1618607241753	9131	3010		74.8	0.1	175222784.0	1877811200.0	175222784.0	1936531456.0	6193511971.0	4391474.0	379257.0	3424.0	6192947243.0	3401.0	11767.0	21.0	/scratch1/btsheal/work/c1/df7adca27105a7b5b617e1a65a72bf			Yeast.004.001	5095883
ef/5695c2	49	2196086.pbs02	threshold_rmt	Yeast.003.001	threshold_rmt (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607235659	1618607241771	1618607246762	11103	2189		77.6	0.1	157872128.0	1865412608.0	157872128.0	1924132864.0	3535120340.0	4399268.0	217001.0	3710.0	3534555530.0	3688.0	6326.0	11.0	/scratch1/btsheal/work/ef/5695c2c9089c3879d984686dbfac1a			Yeast.003.001	2942240
3b/d2a7ab	52	2196087.pbs02	threshold_rmt	Yeast.001.001	threshold_rmt (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607238766	1618607246772	1618607251740	12974	1006		82.5	0.0	3411968.0	227995648.0	3411968.0	227995648.0	412236302.0	4430167.0	26393.0	4947.0	411671547.0	5534.0	19.0	1.0	/scratch1/btsheal/work/3b/d2a7ab591fa2c48bab9bec204ebb38			Yeast.001.001	375578
2b/8b53c4	55	2196088.pbs02	threshold_rmt	Yeast.006.001	threshold_rmt (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607241714	1618607246776	1618607256761	15047	5619		75.3	0.1	202981376.0	1907093504.0	204193792.0	1965813760.0	13454797713.0	4385043.0	822451.0	3168.0	13454232983.0	3047.0	25703.0	49.0	/scratch1/btsheal/work/2b/8b53c418568a88eaf6dde520b2a248			Yeast.006.001	10946119
4a/2a6cd4	57	2196089.pbs02	threshold_rmt	Yeast.005.001	threshold_rmt (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607244726	1618607251758	1618607256778	12052	3959		74.2	0.1	187858944.0	1890615296.0	187858944.0	1949335552.0	9390248938.0	4381454.0	574368.0	3062.0	9389684471.0	3064.0	18046.0	35.0	/scratch1/btsheal/work/4a/2a6cd4168a57e3d5807ebe7722bb52			Yeast.005.001	7676753
32/cfe50f	61	2196092.pbs02	threshold_rmt	Yeast.007.001	threshold_rmt (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607253655	1618607257914	1618607266748	13093	6990		73.3	0.1	223551488.0	1926602752.0	223551488.0	1985323008.0	18480431666.0	4384554.0	1129190.0	3128.0	18479866936.0	2872.0	35987.0	52.0	/scratch1/btsheal/work/32/cfe50fba3c5188bca054abc48f342b			Yeast.007.001	14978067
4c/3934ac	67	2196095.pbs02	threshold_rmt	Yeast.008.001	threshold_rmt (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618607262680	1618607266764	1618607276752	14072	9147		74.5	0.2	245166080.0	1950359552.0	245166080.0	2009079808.0	24297462035.0	4381830.0	1484234.0	3023.0	24296897305.0	2745.0	47467.0	62.0	/scratch1/btsheal/work/4c/3934ac720cf306825b55648748cbd7			Yeast.008.001	19638069
ac/d00e9d	59	2193640.pbs02	threshold_rmt	Yeast.004.001	threshold_rmt (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603035246	1618603043556	1618603043560	8314	3108		77.3	0.1	174247936.0	1877852160.0	174247936.0	1954222080.0	6193511815.0	4391474.0	379256.0	3424.0	6192947243.0	3401.0	11711.0	28.0	/scratch1/btsheal/work/ac/d00e9d5ddffcd353cb2c0273410743			Yeast.004.001	5095883
4c/cc8460	62	2193641.pbs02	threshold_rmt	Yeast.002.001	threshold_rmt (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603038217	1618603043570	1618603048545	10328	1506		79.0	0.1	153436160.0	1858756608.0	153436160.0	1917476864.0	1491537937.0	4410810.0	92270.0	4193.0	1490973369.0	4355.0	2835.0	22.0	/scratch1/btsheal/work/4c/cc84606db7f17909b685c417b11fa8			Yeast.002.001	1276339
3d/c3eded	64	2193642.pbs02	threshold_rmt	Yeast.001.001	threshold_rmt (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603041160	1618603048561	1618603048565	7405	982		81.6	0.0	3350528.0	227995648.0	3350528.0	227995648.0	412236089.0	4430178.0	26395.0	4949.0	411675643.0	5534.0	18.0	0.0	/scratch1/btsheal/work/3d/c3eded9d2061e3258e37376ddbd565			Yeast.001.001	375578
39/60ceec	67	2193643.pbs02	threshold_rmt	Yeast.003.001	threshold_rmt (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603044062	1618603048576	1618603053554	9492	2115		78.5	0.1	159989760.0	1866088448.0	159989760.0	1924808704.0	3535119992.0	4399256.0	217000.0	3709.0	3534555530.0	3688.0	6611.0	16.0	/scratch1/btsheal/work/39/60ceec425abf47fa30e55bef3728d5			Yeast.003.001	2942240
18/69d92d	71	2193644.pbs02	threshold_rmt	Yeast.006.001	threshold_rmt (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603046949	1618603053562	1618603058560	11611	5740		74.5	0.1	203501568.0	1906458624.0	203579392.0	1965178880.0	13454797556.0	4385043.0	822451.0	3168.0	13454232983.0	3047.0	25766.0	33.0	/scratch1/btsheal/work/18/69d92d89e2c84749206ce03e63f301			Yeast.006.001	10946119
a8/7a5f66	74	2193645.pbs02	threshold_rmt	Yeast.005.001	threshold_rmt (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603049925	1618603053565	1618603058573	8648	3787		74.0	0.1	188305408.0	1891225600.0	188305408.0	1954222080.0	9390249044.0	4381458.0	574369.0	3062.0	9389684471.0	3064.0	18102.0	25.0	/scratch1/btsheal/work/a8/7a5f66ade840354423697b1cbf669b			Yeast.005.001	7676753
0a/0d17f1	78	2193649.pbs02	threshold_rmt	Yeast.007.001	threshold_rmt (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603061899	1618603069152	1618603073548	11649	7337		73.1	0.1	225017856.0	1928257536.0	225017856.0	1986977792.0	18480431450.0	4384546.0	1129189.0	3127.0	18479866936.0	2872.0	36129.0	56.0	/scratch1/btsheal/work/0a/0d17f13fce299dd05430ac5f86da4c			Yeast.007.001	14978067
7a/4fbd38	83	2193652.pbs02	threshold_rmt	Yeast.008.001	threshold_rmt (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618603067766	1618603069158	1618603083562	15796	9832		74.1	0.2	248647680.0	1951584256.0	248647680.0	2010304512.0	24297461850.0	4381826.0	1484233.0	3023.0	24296897305.0	2745.0	47541.0	84.0	/scratch1/btsheal/work/7a/4fbd38f0a82f16c5c34a80d9ab7e3b			Yeast.008.001	19638069
aa/bbdf53	154	2196358.pbs02	threshold_rmt	Yeast.002.001	threshold_rmt (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609691674	1618609699851	1618609699856	8182	1501		79.9	0.1	155054080.0	1859670016.0	155054080.0	1918390272.0	1491538124.0	4410798.0	92270.0	4192.0	1490973369.0	4355.0	2818.0	23.0	/scratch1/btsheal/work/aa/bbdf533839174f76ad748ae3d23fda			Yeast.002.001	1276339
35/faedc4	158	2196359.pbs02	threshold_rmt	Yeast.004.001	threshold_rmt (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609694641	1618609699866	1618609704850	10209	3067		78.3	0.1	173694976.0	1878028288.0	173694976.0	1936748544.0	6193511877.0	4391470.0	379256.0	3424.0	6192947243.0	3401.0	11695.0	33.0	/scratch1/btsheal/work/35/faedc4c20bdfd7163ca11f35be9c92			Yeast.004.001	5095883
37/fbac0f	159	2196360.pbs02	threshold_rmt	Yeast.001.001	threshold_rmt (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609697610	1618609700608	1618609704866	7256	986		82.1	0.0	3428352.0	227995648.0	3428352.0	227995648.0	412236178.0	4430178.0	26395.0	4949.0	411671547.0	5534.0	15.0	0.0	/scratch1/btsheal/work/37/fbac0f59578f9724ca59bd84ff42d9			Yeast.001.001	375578
6f/00ca75	162	2196361.pbs02	threshold_rmt	Yeast.006.001	threshold_rmt (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609700607	1618609704877	1618609714865	14258	5693		76.1	0.1	203796480.0	1907032064.0	203796480.0	1965752320.0	13454797700.0	4385039.0	822451.0	3168.0	13454232983.0	3047.0	25724.0	41.0	/scratch1/btsheal/work/6f/00ca759ab99191af2faae9c2ea7b69			Yeast.006.001	10946119
ee/82685a	165	2196362.pbs02	threshold_rmt	Yeast.005.001	threshold_rmt (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609703620	1618609709862	1618609714878	11258	3816		72.9	0.1	186400768.0	1891176448.0	186400768.0	1949896704.0	9390249251.0	4381459.0	574369.0	3062.0	9389684471.0	3064.0	18119.0	28.0	/scratch1/btsheal/work/ee/82685a8df8f2cf0abbcdf5aaf032c0			Yeast.005.001	7676753
fb/ef17f3	170	2196363.pbs02	threshold_rmt	Yeast.003.001	threshold_rmt (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609706549	1618609714893	1618609714898	8349	2223		78.7	0.1	158601216.0	1865412608.0	158601216.0	1954222080.0	3535120156.0	4399256.0	217000.0	3709.0	3534555530.0	3688.0	6296.0	14.0	/scratch1/btsheal/work/fb/ef17f33c3423057de76156ed342cf4			Yeast.003.001	2942240
73/8a1928	175	2196367.pbs02	threshold_rmt	Yeast.007.001	threshold_rmt (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609718500	1618609724855	1618609734856	16356	8019		67.8	0.1	225218560.0	1926803456.0	225218560.0	1985523712.0	18480431701.0	4384550.0	1129190.0	3128.0	18479866936.0	2872.0	35976.0	32.0	/scratch1/btsheal/work/73/8a19280cbcce17e386ee597fa2fdb0			Yeast.007.001	14978067
c5/cdfa5a	178	2196368.pbs02	threshold_rmt	Yeast.008.001	threshold_rmt (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618609721625	1618609729856	1618609739869	18244	9161		74.1	0.2	249380864.0	1950121984.0	249380864.0	2008842240.0	24297461897.0	4381826.0	1484233.0	3023.0	24296897305.0	2745.0	47470.0	53.0	/scratch1/btsheal/work/c5/cdfa5acb95be0fc0d1e6dac2da34e6			Yeast.008.001	19638069
ff/8668de	154	2193215.pbs02	threshold_rmt	Yeast.002.001	threshold_rmt (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598769945	1618598776603	1618598776608	6663	1385		79.6	0.1	154976256.0	1859715072.0	154976256.0	1954222080.0	1491537642.0	4407677.0	92269.0	4084.0	1490973369.0	4295.0	2789.0	21.0	/scratch1/btsheal/work/ff/8668de47527ae2e50e1ec7da0a1d7b			Yeast.002.001	1276339
88/1c5f50	156	2193216.pbs02	threshold_rmt	Yeast.004.001	threshold_rmt (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598772942	1618598781589	1618598781596	8654	2860		77.7	0.1	174415872.0	1878159360.0	174415872.0	1954222080.0	6193511517.0	4391450.0	379256.0	3423.0	6192947243.0	3404.0	11701.0	25.0	/scratch1/btsheal/work/88/1c5f504dcdb683a1d7a34970345b83			Yeast.004.001	5095883
b9/375f1c	160	2193217.pbs02	threshold_rmt	Yeast.001.001	threshold_rmt (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598775719	1618598781610	1618598781614	5895	1200		85.7	0.0	3461120.0	227995648.0	3461120.0	227995648.0	412235792.0	4448504.0	26395.0	5578.0	411671547.0	5907.0	20.0	0.0	/scratch1/btsheal/work/b9/375f1c8d83dda488347a2c8af225d9			Yeast.001.001	375578
da/402240	163	2193218.pbs02	threshold_rmt	Yeast.003.001	threshold_rmt (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598778615	1618598786608	1618598786613	7998	2106		78.4	0.1	160034816.0	1866088448.0	160034816.0	1924808704.0	3535119804.0	4399289.0	217000.0	3710.0	3534555530.0	3690.0	6651.0	19.0	/scratch1/btsheal/work/da/402240451264d4c20247f1b0704eb9			Yeast.003.001	2942240
ea/ae8cb2	166	2193219.pbs02	threshold_rmt	Yeast.006.001	threshold_rmt (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598781758	1618598786620	1618598791588	9830	5479		74.5	0.1	204587008.0	1907081216.0	204587008.0	1965801472.0	13454797262.0	4382879.0	822450.0	3094.0	13454232983.0	3002.0	25763.0	41.0	/scratch1/btsheal/work/ea/ae8cb2f290d0a263f0bc1d4554ee7b			Yeast.006.001	10946119
31/0a1c10	170	2193220.pbs02	threshold_rmt	Yeast.005.001	threshold_rmt (Yeast.005.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598785337	1618598791599	1618598796609	11272	3832		74.4	0.1	187920384.0	1891160064.0	187920384.0	1954222080.0	9390232362.0	4381484.0	574368.0	3063.0	9389668087.0	3053.0	18086.0	34.0	/scratch1/btsheal/work/31/0a1c10f886a4a4e89fa443f06d709f			Yeast.005.001	7676740
dd/3e1f17	174	2193224.pbs02	threshold_rmt	Yeast.007.001	threshold_rmt (Yeast.007.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598797351	1618598806588	1618598811594	14243	7220		76.5	0.1	225697792.0	1928372224.0	225697792.0	1987092480.0	18480431163.0	4384509.0	1129189.0	3126.0	18479866936.0	2875.0	35860.0	65.0	/scratch1/btsheal/work/dd/3e1f177d6b88f5f21c21e3c1c20430			Yeast.007.001	14978067
5b/26d58c	180	2193227.pbs02	threshold_rmt	Yeast.008.001	threshold_rmt (Yeast.008.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618598806310	1618598811612	1618598821611	15301	9579		74.8	0.2	246972416.0	1951866880.0	246972416.0	2010587136.0	24297461607.0	4381821.0	1484232.0	3023.0	24316119833.0	2754.0	47460.0	122.0	/scratch1/btsheal/work/5b/26d58ccb767804707420ba1d0d59ff			Yeast.008.001	19638069
81/dbdd05	155	2197057.pbs02	threshold_rmt	Yeast.002.001	threshold_rmt (Yeast.002.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618616232920	1618616238792	1618616238796	5876	1495		81.8	0.1	157884416.0	1858756608.0	157884416.0	1954222080.0	1491538170.0	4410810.0	92271.0	4193.0	1490973369.0	4355.0	2830.0	21.0	/scratch1/btsheal/work/81/dbdd0579350a0490325485238edfe8			Yeast.002.001	1276339
5c/24323d	158	2197058.pbs02	threshold_rmt	Yeast.004.001	threshold_rmt (Yeast.004.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618616236088	1618616243752	1618616243759	7671	3170		77.5	0.1	173174784.0	1877938176.0	173174784.0	1954222080.0	6193512046.0	4391474.0	379255.0	3424.0	6192947243.0	3401.0	11808.0	46.0	/scratch1/btsheal/work/5c/24323d78a5e34d1d98b86f2b2f0fbc			Yeast.004.001	5095883
39/4b9ba1	160	2197059.pbs02	threshold_rmt	Yeast.001.001	threshold_rmt (Yeast.001.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618616239209	1618616243769	1618616248753	9544	1023		82.0	0.0	3469312.0	227995648.0	3469312.0	227995648.0	412236346.0	4430182.0	26396.0	4949.0	411671547.0	5534.0	17.0	0.0	/scratch1/btsheal/work/39/4b9ba1ab47f0c0fe6e3798cac80cd7			Yeast.001.001	375578
4e/fbcce8	162	2197060.pbs02	threshold_rmt	Yeast.003.001	threshold_rmt (Yeast.003.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618616242151	1618616248763	1618616254476	12325	2249		78.7	0.1	157941760.0	1865412608.0	157941760.0	1924132864.0	3535120341.0	4399276.0	217002.0	3711.0	3534555530.0	3688.0	6181.0	23.0	/scratch1/btsheal/work/4e/fbcce871c862320d47976becdb86b2			Yeast.003.001	2942240
e4/bda7f5	166	2197061.pbs02	threshold_rmt	Yeast.006.001	threshold_rmt (Yeast.006.001)	COMPLETED	0	[kinc/v3.4.2]	systemsgenetics/kinc:3.4.2-cpu	1	43200000			1	1618616245172	1618616254485	1618616258768	13596	6051		76.1	0.1	202649600.0	1906348032.0	204759040.0	1967218688.0	13454797739.0	4385043.0	822450.0	3168.0	13454232983.0	3047.0	25925.0	114.0	/scratch1/btsheal/work/e4/bda7f5efec42640d1bc5bb06f9bd9d			Yeast.006.001	10946119
